Facility Address,CITY,ZIP,County,License Category,Status,Status Date,Facility,Report
2050 VIBORG ROAD,SOLVANG,93463,SANTA BARBARA,GENERAL ACUTE CARE HOSPITAL,OPEN,2-Nov-64,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
10666 NORTH TORREY PINES ROAD,LA JOLLA,92037,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,6-Feb-77,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
2205 VISTA WAY,OCEANSIDE,92054,SAN DIEGO,SURGICAL CLINIC,OPEN,28-Jul-21,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
354 SANTA FE DRIVE,ENCINITAS,92024,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,16-Jun-64,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
9888 GENESEE AVENUE,LA JOLLA,92037,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,3-May-64,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
4077 FIFTH AVENUE,SAN DIEGO,92103,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
130 BRENTWOOD DRIVE,CHESTER,96020,PLUMAS,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-53,SENECA DISTRICT HOSPITAL #321016,Ambulatory Surgery
170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,94062,SAN MATEO,GENERAL ACUTE CARE HOSPITAL,OPEN,17-Oct-50,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
751 MEDICAL CENTER COURT,CHULA VISTA,91911,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,27-May-75,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
250 PROSPECT PLACE,CORONADO,92118,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
3003 HEALTH CENTER DRIVE,SAN DIEGO,92123,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Nov-09,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS #370695,Ambulatory Surgery
7901 FROST STREET,SAN DIEGO,92123,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Nov-74,SHARP MEMORIAL HOSPITAL #370694,Ambulatory Surgery
1100 BUTTE STREET,REDDING,96001,SHASTA,GENERAL ACUTE CARE HOSPITAL,OPEN,2-Apr-46,SHASTA REGIONAL MEDICAL CENTER #450940,Ambulatory Surgery
4929 VAN NUYS BOULEVARD,SHERMAN OAKS,91403,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Mar-58,SHERMAN OAKS HOSPITAL  #190708,Ambulatory Surgery
909 S. FAIR OAKS AVE.,PASADENA,91105,LOS ANGELES,SURGICAL CLINIC,OPEN,6-Oct-17,SHRINERS FOR CHILDREN AMBULATORY SURGICAL CENTER #197915,Ambulatory Surgery
2425 STOCKTON BLVD,SACRAMENTO,95817,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Apr-97,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF. #344114,Ambulatory Surgery
155 GLASSON WAY,GRASS VALLEY,95945,NEVADA,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Dec-58,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Ambulatory Surgery
465 WEST PUTNAM AVENUE,PORTERVILLE,93257,TULARE,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Feb-58,SIERRA VIEW MEDICAL CENTER #540798,Ambulatory Surgery
347 ANDRIEUX STREET,SONOMA,95476,SONOMA,GENERAL ACUTE CARE HOSPITAL,OPEN,26-Jul-57,SONOMA VALLEY HOSPITAL #491076,Ambulatory Surgery
2701 S. BRISTOL STREET,SANTA ANA,92704,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,7-Jun-73,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
3828 DELMAS TERRACE,CULVER CITY,90232,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-13,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
6245 DE LONGPRE AVENUE,HOLLYWOOD,90028,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Feb-63,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD #190380,Ambulatory Surgery
25500 MEDICAL CENTER DRIVE,MURRIETA,92562,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,19-Feb-92,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
1303 EAST HERNDON AVENUE,FRESNO,93720,FRESNO,GENERAL ACUTE CARE HOSPITAL,OPEN,22-Mar-75,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,92404,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
2550 SISTER MARY COLUMBA DRIVE,RED BLUFF,96080,TEHAMA,GENERAL ACUTE CARE HOSPITAL,OPEN,20-Mar-46,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
3630 E. IMPERIAL HIGHWAY,LYNWOOD,90262,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
2309 ANTONIO AVENUE,CAMARILLO,93010,VENTURA,GENERAL ACUTE CARE HOSPITAL,OPEN,31-Jan-20,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
1600 NORTH ROSE AVENUE,OXNARD,93030,VENTURA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-53,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
1800 NORTH CALIFORNIA STREET,STOCKTON,95204,SAN JOAQUIN,GENERAL ACUTE CARE HOSPITAL,OPEN,28-Mar-46,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
9400 NO NAME UNO,GILROY,95020,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Mar-19,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
1050 LINDEN AVENUE,LONG BEACH,90813,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
27200 CALAROGA AVENUE,HAYWARD,94545,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Oct-62,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
300 PASTEUR DRIVE,PALO ALTO,94305,SANTA CLARA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-48,STANFORD HEALTH CARE #430905,Ambulatory Surgery
5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,9-Dec-91,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
1421 OAKDALE ROAD,MODESTO,95355,STANISLAUS,GENERAL ACUTE CARE HOSPITAL,SUSPENSE,14-Sep-24,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
8011 DON AVE,STOCKTON,95209,SAN JOAQUIN,SURGICAL CLINIC,OPEN,22-Apr-09,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
795 EL CAMINO REAL,PALO ALTO,94301,SANTA CLARA,SURGICAL CLINIC,OPEN,20-May-76,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
3120 KEARNEY ST,FREMONT,94538,ALAMEDA,SURGICAL CLINIC,OPEN,17-Apr-15,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
715 ALTOS OAKS DR,LOS ALTOS,94024,SANTA CLARA,SURGICAL CLINIC,OPEN,28-Aug-15,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
701 E EL CAMINO REAL,MOUNTAIN VIEW,94040,SANTA CLARA,SURGICAL CLINIC,OPEN,11-May-07,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
301 INDUSTRIAL RD,SAN CARLOS,94070,SAN MATEO,SURGICAL CLINIC,OPEN,1-Jan-15,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
2581 SAMARITAN DR,SAN JOSE,95124,SANTA CLARA,SURGICAL CLINIC,OPEN,1-Aug-14,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
200 MISSION BLVD,JACKSON,95642,AMADOR,GENERAL ACUTE CARE HOSPITAL,OPEN,10-Apr-00,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
11815 EDUCATION STREET,AUBURN,95602,PLACER,GENERAL ACUTE CARE HOSPITAL,OPEN,30-Jun-66,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,95531,DEL NORTE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
2000 SUTTER PLACE,DAVIS,95616,YOLO,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Sep-94,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
3901 LONE TREE WAY,ANTIOCH,94509,CONTRA COSTA,GENERAL ACUTE CARE HOSPITAL,OPEN,2-Feb-67,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
5176 HILL ROAD EAST,LAKEPORT,95453,LAKE,GENERAL ACUTE CARE HOSPITAL,OPEN,28-Apr-78,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
2900 CHANTICLEER AVENUE,SANTA CRUZ,95065,SANTA CRUZ,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Mar-96,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
2825 CAPITOL AVE,SACRAMENTO,95816,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,19-Jun-87,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
1 MEDICAL PLAZA DRIVE,ROSEVILLE,95661,PLACER,GENERAL ACUTE CARE HOSPITAL,OPEN,19-Jun-97,SUTTER ROSEVILLE MEDICAL CENTER #311000,Ambulatory Surgery
2506 SAMARITAN CT,SAN JOSE,95124,SANTA CLARA,SURGICAL CLINIC,OPEN,19-Oct-23,SUTTER SAMARITAN SURGERY CENTER #430021,Ambulatory Surgery
30 MARK WEST SPRINGS RD.,SANTA ROSA,95403,SONOMA,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Oct-14,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Ambulatory Surgery
300 HOSPITAL DRIVE,VALLEJO,94589,SOLANO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,SUTTER SOLANO MEDICAL CENTER #481094,Ambulatory Surgery
455 PLUMAS BOULEVARD,YUBA CITY,95991,SUTTER,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Apr-09,SUTTER SURGICAL HOSPITAL-NORTH VALLEY #514030,Ambulatory Surgery
1420 NORTH TRACY BOULEVARD,TRACY,95376,SAN JOAQUIN,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-48,SUTTER TRACY COMMUNITY HOSPITAL #391056,Ambulatory Surgery
10121 PINE AVE,TRUCKEE,96161,NEVADA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Apr-52,TAHOE FOREST HOSPITAL #291053,Ambulatory Surgery
31700 TEMECULA PKWY,TEMECULA,92592,RIVERSIDE,GENERAL ACUTE CARE HOSPITAL,OPEN,9-Oct-13,TEMECULA VALLEY HOSPITAL #334564,Ambulatory Surgery
1006 NUT TREE RD,VACAVILLE,95687,SOLANO,SURGICAL CLINIC,OPEN,11-Nov-15,THE SURGERY CENTER AT NORTHBAY VACAVALLEY #484068,Ambulatory Surgery
3330 LOMITA BOULEVARD,TORRANCE,90505,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,29-Mar-71,TORRANCE MEMORIAL MEDICAL CENTER #190422,Ambulatory Surgery
4002 VISTA WAY,OCEANSIDE,92056,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Jul-61,TRI-CITY MEDICAL CENTER #370780,Ambulatory Surgery
60 EASTER AVENUE,WEAVERVILLE,96093,TRINITY,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,TRINITY HOSPITAL #531059,Ambulatory Surgery
200 WEST ARBOR DRIVE,SAN DIEGO,92103,SAN DIEGO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Ambulatory Surgery
17100 EUCLID STREET,FOUNTAIN VALLEY,92708,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Nov-71,UCI HEALTH-FOUNTAIN VALLEY #301175,Ambulatory Surgery
3700 SOUTH STREET,LAKEWOOD,90712,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,17-May-72,UCI HEALTH-LAKEWOOD #190240,Ambulatory Surgery
1301 NORTH ROSE DRIVE,PLACENTIA,92870,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,27-Sep-72,UCI HEALTH-PLACENTIA LINDA #301297,Ambulatory Surgery
747 52ND STREET,OAKLAND,94609,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Ambulatory Surgery
900 HYDE STREET,SAN FRANCISCO,94109,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Ambulatory Surgery
450 STANYAN STREET,SAN FRANCISCO,94117,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-46,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Ambulatory Surgery
505 PARNASSUS AVENUE,SAN FRANCISCO,94143,SAN FRANCISCO,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jan-17,UCSF MEDICAL CENTER #381154,Ambulatory Surgery
2315 STOCKTON BOULEVARD,SACRAMENTO,95817,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,26-Aug-53,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Ambulatory Surgery
101 CITY DRIVE SOUTH,ORANGE,92868,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Ambulatory Surgery
300 WEST HUNTINGTON DRIVE,ARCADIA,91007,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,23-May-57,USC ARCADIA HOSPITAL #190529,Ambulatory Surgery
1441 EASTLAKE AVENUE,LOS ANGELES,90089,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,11-Apr-83,USC KENNETH NORRIS JR. CANCER HOSPITAL #191216,Ambulatory Surgery
1812 VERDUGO BOULEVARD,GLENDALE,91208,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,8-Dec-72,USC VERDUGO HILLS HOSPITAL #190818,Ambulatory Surgery
9300 VALLEY CHILDREN'S PLACE,MADERA,93636,MADERA,GENERAL ACUTE CARE HOSPITAL,OPEN,31-Aug-98,VALLEY CHILDREN'S HOSPITAL #204019,Ambulatory Surgery
15107 VANOWEN STREET,VAN NUYS,91405,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,21-Jan-58,VALLEY PRESBYTERIAN HOSPITAL #190812,Ambulatory Surgery
300 HILLMONT AVE,VENTURA,93003,VENTURA,GENERAL ACUTE CARE HOSPITAL,OPEN,1-Jul-53,VENTURA COUNTY MEDICAL CENTER #560481,Ambulatory Surgery
330 MONTROSE DRIVE,FOLSOM,95630,SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,OPEN,31-Aug-13,VIBRA HOSPITAL OF SACRAMENTO #344035,Ambulatory Surgery
15248 ELEVENTH STREET,VICTORVILLE,92395,SAN BERNARDINO,GENERAL ACUTE CARE HOSPITAL,OPEN,13-Nov-64,VICTOR VALLEY GLOBAL MEDICAL CENTER #361370,Ambulatory Surgery
136 ASPEN CT,VISALIA,93291,TULARE,SURGICAL CLINIC,OPEN,13-Dec-10,"VISALIA CHILDREN'S DENTAL SURGERY CENTER, INC. #544082",Ambulatory Surgery
2000 MOWRY AVENUE,FREMONT,94538,ALAMEDA,GENERAL ACUTE CARE HOSPITAL,OPEN,19-Nov-58,WASHINGTON HOSPITAL - FREMONT #010987,Ambulatory Surgery
75 NIELSON STREET,WATSONVILLE,95076,SANTA CRUZ,GENERAL ACUTE CARE HOSPITAL,OPEN,24-Apr-98,WATSONVILLE COMMUNITY HOSPITAL #444013,Ambulatory Surgery
3033 WEST ORANGE AVENUE,ANAHEIM,92804,ORANGE,GENERAL ACUTE CARE HOSPITAL,OPEN,5-Aug-64,WEST ANAHEIM MEDICAL CENTER #301379,Ambulatory Surgery
9080 COLIMA ROAD,WHITTIER,90605,LOS ANGELES,GENERAL ACUTE CARE HOSPITAL,OPEN,5-May-57,WHITTIER HOSPITAL MEDICAL CENTER #190883,Ambulatory Surgery
1325 COTTONWOOD STREET,WOODLAND,95695,YOLO,GENERAL ACUTE CARE HOSPITAL,OPEN,29-Mar-67,WOODLAND MEMORIAL HOSPITAL #571086,Ambulatory Surgery
