DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,196,190,208,220,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Error/Unknown,1,0,1,0,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Expired,32,29,25,16,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Left against medical advice or discontinued care,219,288,231,200,KAISER FOUNDATION HOSPITAL - WALNUT CREEK #070990,Emergency Department
Discharged home with hospice care,12,11,7,11,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged to a medical facility with hospice care,0,0,0,1,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged to home or self care (routine discharge),20180,20505,20238,20563,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,4,5,5,4,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),6,2,1,1,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to a federal health care facility,0,0,1,0,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,0,1,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",19,20,16,30,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,159,159,132,140,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,345,338,333,354,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,2,1,7,9,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,8,15,15,8,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to Court/Law Enforcement,20,7,8,8,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,265,260,297,323,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,76,70,106,68,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Error/Unknown,5,5,2,3,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Expired,9,12,11,16,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Left against medical advice or discontinued care,231,179,203,243,KAISER FOUNDATION HOSPITAL - WEST LA #190434,Emergency Department
Discharged home with hospice care,13,5,16,17,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged to a medical facility with hospice care,0,1,1,0,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged to home or self care (routine discharge),10373,10607,9906,10183,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,0,1,1,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,3,1,1,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",6,10,12,10,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,76,73,65,71,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,95,110,82,71,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,1,3,1,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,28,24,22,13,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to Court/Law Enforcement,1,1,3,4,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,290,250,288,300,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,72,54,77,71,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Error/Unknown,2,2,4,2,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Expired,9,3,3,8,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Left against medical advice or discontinued care,55,57,84,72,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS #191450,Emergency Department
Discharged home with hospice care,6,4,5,14,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged to home or self care (routine discharge),15713,16114,15868,16946,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,36,18,18,23,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),54,52,48,59,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to a federal health care facility,1,0,1,2,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,0,1,4,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,309,387,323,347,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,292,257,237,255,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,10,9,18,25,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to Court/Law Enforcement,211,211,278,259,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,43,4,8,199,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,169,113,138,187,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Expired,37,35,40,41,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Left against medical advice or discontinued care,1211,1435,1619,1339,KAWEAH HEALTH MEDICAL CENTER #540734,Emergency Department
Discharged home with hospice care,1,2,3,2,KERN MEDICAL CENTER #150736,Emergency Department
Discharged to a medical facility with hospice care,0,0,2,0,KERN MEDICAL CENTER #150736,Emergency Department
Discharged to home or self care (routine discharge),8704,9308,9177,8637,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),1,2,2,0,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,26,28,16,19,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to a federal health care facility,2,1,1,3,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),3,0,1,4,KERN MEDICAL CENTER #150736,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",1,1,4,9,KERN MEDICAL CENTER #150736,Emergency Department
"Discharged/Transferred to a Nursing Facility certified under Medicaid (Medi-Cal), but not certified under Medicare with a Planned Acute Care Hospital Inpatient Readmission",0,1,1,0,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,806,822,760,811,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,2,1,0,4,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,88,63,74,107,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,3,4,3,4,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,4,21,30,30,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,2,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to Court/Law Enforcement,625,644,618,564,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,0,0,3,1,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,2,4,9,1,KERN MEDICAL CENTER #150736,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,70,74,74,62,KERN MEDICAL CENTER #150736,Emergency Department
Expired,10,16,12,14,KERN MEDICAL CENTER #150736,Emergency Department
Left against medical advice or discontinued care,1242,1408,1527,1508,KERN MEDICAL CENTER #150736,Emergency Department
Other,0,0,0,2,KERN MEDICAL CENTER #150736,Emergency Department
Discharged home with hospice care,0,0,1,0,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Discharged to a medical facility with hospice care,0,0,1,0,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Discharged to home or self care (routine discharge),1386,1516,1597,1443,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,0,1,0,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,214,242,241,241,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,3,1,0,1,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Expired,3,2,7,6,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Left against medical advice or discontinued care,133,138,137,143,KERN VALLEY HEALTHCARE DISTRICT #150737,Emergency Department
Discharged to home or self care (routine discharge),2760,2719,2858,3086,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,0,1,0,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to a Federal Health Care Facility with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,0,1,0,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,3,4,2,6,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,5,8,5,8,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,2,0,1,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,164,179,158,151,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to Court/Law Enforcement,0,4,1,1,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,5,4,7,6,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Expired,5,0,5,3,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Left against medical advice or discontinued care,97,97,95,105,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Other,1,1,1,2,LA PALMA INTERCOMMUNITY HOSPITAL #301234,Emergency Department
Discharged home with hospice care,3,2,0,0,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged to a medical facility with hospice care,0,2,1,0,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged to home or self care (routine discharge),15672,16163,15242,15611,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,5,8,9,8,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to a designated Disaster Alternative Care Site.,16,19,16,18,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),15,13,5,5,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to a federal health care facility,0,1,0,0,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),6,8,3,3,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to a Medicare certified Long Term Care Hospital (LTCH) with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,1,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,848,922,817,860,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,403,428,396,442,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,4,4,4,0,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,96,120,115,117,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to Court/Law Enforcement,81,104,142,163,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,30,31,15,22,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,41,45,56,37,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Expired,33,35,28,31,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Left against medical advice or discontinued care,2060,1989,2462,2289,LAC/HARBOR-UCLA MEDICAL CENTER #191227,Emergency Department
Discharged home with hospice care,0,0,0,1,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged to home or self care (routine discharge),8857,8232,7929,9887,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,6,6,4,4,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to a designated Disaster Alternative Care Site.,0,0,0,1,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,0,0,1,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,332,324,267,285,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,2,0,0,1,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,22,19,21,16,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,0,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,1,0,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to an Inpatient Rehabilitation Facility (IRF) including Rehabilitation Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,5,1,2,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,3,1,0,0,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to Court/Law Enforcement,1,1,4,1,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,1,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,2,0,0,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,2,1,1,1,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Expired,0,2,0,3,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Left against medical advice or discontinued care,71,65,49,49,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Other,3,0,0,0,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Emergency Department
Discharged home with hospice care,6,7,7,8,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged to a medical facility with hospice care,0,1,0,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged to home or self care (routine discharge),9892,9250,8833,9255,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,1,0,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,19,23,26,31,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,2,1,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a designated Disaster Alternative Care Site.,0,1,0,1,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),9,11,9,6,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a federal health care facility,1,1,0,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,2,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,1,0,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,236,219,175,178,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,98,88,70,132,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,2,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,6,4,7,4,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,4,3,4,2,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,1,0,1,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to Court/Law Enforcement,1,3,4,4,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,2,6,4,2,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,27,52,47,78,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,99,110,106,102,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,1,0,1,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Expired,28,20,23,30,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Left against medical advice or discontinued care,563,547,496,503,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Other,2,0,2,0,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Emergency Department
Discharged home with hospice care,10,10,9,6,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged to home or self care (routine discharge),10569,9810,10584,11151,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),5,9,5,10,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,45,46,50,41,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a designated Disaster Alternative Care Site.,8,8,4,4,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,2,1,2,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a Federal Health Care Facility with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,0,1,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,54,58,45,46,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,1,1,2,1,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,284,260,282,289,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,2,0,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,4,5,3,4,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,2,3,1,2,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,1,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to Court/Law Enforcement,1,4,6,3,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,2,4,3,1,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,66,82,71,67,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,52,50,51,54,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Expired,18,15,14,17,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Left against medical advice or discontinued care,244,232,228,223,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Other,1,0,2,0,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Emergency Department
Discharged home with hospice care,2,1,2,2,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
Discharged to a medical facility with hospice care,0,1,0,0,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
Discharged to home or self care (routine discharge),4704,4752,4608,4865,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,0,0,0,LOMPOC VALLEY MEDICAL CENTER #420491,Emergency Department
