SEX,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Female,10883,11106,11134,10843,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Emergency Department
Male,9014,9363,9170,9454,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Emergency Department
Unknown,0,2,1,2,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Emergency Department
Female,5002,4999,5003,5150,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Emergency Department
Male,6440,6662,6698,6862,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Emergency Department
Unknown,0,0,0,2,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Emergency Department
Female,6547,6796,6826,7501,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Emergency Department
Male,5049,5241,5234,5958,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Emergency Department
Unknown,1,4,6,2,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Emergency Department
Female,13100,13299,12430,13689,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Emergency Department
Male,9742,10037,9367,10333,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Emergency Department
Unknown,1,4,4,2,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Emergency Department
Female,4630,4824,4833,4851,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Emergency Department
Male,3915,3895,3722,3877,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Emergency Department
Unknown,3,4,2,4,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Emergency Department
Female,5673,5709,5804,5987,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Emergency Department
Male,4390,4239,4178,4386,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Emergency Department
Unknown,0,2,1,3,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Emergency Department
Female,5503,5880,6259,6125,PROVIDENCE MISSION HOSPITAL #301262,Emergency Department
Male,4429,4646,4834,4626,PROVIDENCE MISSION HOSPITAL #301262,Emergency Department
Unknown,6,4,7,4,PROVIDENCE MISSION HOSPITAL #301262,Emergency Department
Female,1830,1849,1961,1859,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Emergency Department
Male,1583,1746,1868,1791,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Emergency Department
Unknown,0,1,2,0,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Emergency Department
Female,3736,3819,3794,3560,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Emergency Department
Male,3206,3570,3432,3419,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Emergency Department
Unknown,2,1,3,3,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Emergency Department
Female,1395,1523,1548,1429,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Emergency Department
Male,1297,1283,1151,1192,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Emergency Department
Unknown,2,1,0,0,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Emergency Department
Female,8225,8721,8524,8843,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Emergency Department
Male,6962,7217,7032,7367,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Emergency Department
Unknown,2,4,3,3,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Emergency Department
Female,5100,5392,5095,5077,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Emergency Department
Male,4593,5128,4749,4772,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Emergency Department
Unknown,1,3,3,4,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Emergency Department
Female,10919,10991,11536,11371,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Emergency Department
Male,7306,7202,7755,7778,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Emergency Department
Unknown,4,3,9,2,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Emergency Department
Female,3768,3784,3965,4108,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Emergency Department
Male,3621,3896,4009,3965,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Emergency Department
Unknown,5,6,7,4,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Emergency Department
Female,7723,8504,8390,8576,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Emergency Department
Male,5605,6275,6428,6447,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Emergency Department
Unknown,6,3,4,8,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Emergency Department
Female,10503,10869,10691,10905,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Emergency Department
Male,7621,7946,7725,8112,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Emergency Department
Unknown,6,4,6,17,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Emergency Department
Female,10980,10583,9929,11236,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Emergency Department
Male,12709,12330,11880,13619,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Emergency Department
Unknown,3,10,8,8,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Emergency Department
Female,6622,6903,7078,7073,REDLANDS COMMUNITY HOSPITAL #361308,Emergency Department
Male,4629,4685,4819,4990,REDLANDS COMMUNITY HOSPITAL #361308,Emergency Department
Female,9610,9808,9107,8934,REGIONAL MEDICAL CENTER OF SAN JOSE #430705,Emergency Department
Male,8417,9158,8152,8065,REGIONAL MEDICAL CENTER OF SAN JOSE #430705,Emergency Department
Female,2001,2088,2115,2052,RIDGECREST REGIONAL HOSPITAL #150782,Emergency Department
Male,1797,1879,1772,1786,RIDGECREST REGIONAL HOSPITAL #150782,Emergency Department
Unknown,0,0,3,0,RIDGECREST REGIONAL HOSPITAL #150782,Emergency Department
Female,11912,12747,12725,13180,RIVERSIDE COMMUNITY HOSPITAL #331312,Emergency Department
Male,9696,10486,10513,10832,RIVERSIDE COMMUNITY HOSPITAL #331312,Emergency Department
Unknown,1,0,0,0,RIVERSIDE COMMUNITY HOSPITAL #331312,Emergency Department
Female,10247,10500,10892,11289,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Emergency Department
Male,9367,9593,9831,10023,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Emergency Department
Unknown,3,2,2,3,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Emergency Department
Female,4941,4810,4333,4638,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
Male,4501,4583,4187,4410,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
Not Provided/Blank,6,3,2,7,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
Unknown,3,4,0,9,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
Female,3420,3535,3692,3690,SAINT JOHN'S HEALTH CENTER #190756,Emergency Department
Male,3292,3275,3332,3378,SAINT JOHN'S HEALTH CENTER #190756,Emergency Department
Unknown,5,3,7,6,SAINT JOHN'S HEALTH CENTER #190756,Emergency Department
Female,7605,8151,7655,7912,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Emergency Department
Male,5454,5984,5730,5795,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Emergency Department
Unknown,1,0,5,1,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Emergency Department
Female,11478,11452,12202,11087,SAN ANTONIO REGIONAL HOSPITAL #361318,Emergency Department
Male,8623,8823,8840,9159,SAN ANTONIO REGIONAL HOSPITAL #361318,Emergency Department
Unknown,2,1,9,8,SAN ANTONIO REGIONAL HOSPITAL #361318,Emergency Department
Female,1712,1863,1960,2048,SAN DIMAS COMMUNITY HOSPITAL #190673,Emergency Department
Male,1336,1500,1564,1608,SAN DIMAS COMMUNITY HOSPITAL #190673,Emergency Department
Female,3149,3116,3267,3254,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Emergency Department
Male,2442,2568,2588,2778,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Emergency Department
Unknown,0,1,0,0,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Emergency Department
Female,5326,5479,5581,5748,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Male,4248,4467,4339,4691,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Female,5301,5393,5707,5214,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Male,5755,6310,6606,6199,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Unknown,1,3,4,5,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Female,4933,5217,4885,4457,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Male,5117,5324,5019,4683,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Female,2564,2678,2598,2448,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Male,1963,2147,1928,1917,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Unknown,1,0,1,0,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Error/Unknown,2,0,4,1,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Female,5725,6028,6129,6126,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Male,5199,5655,5790,5619,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Unknown,0,2,3,2,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Female,8358,8301,8141,7416,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Male,8121,8376,8226,7931,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Unknown,8,11,14,11,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Female,4592,4703,4577,4606,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Male,4285,4380,4192,4280,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Not Provided/Blank,0,0,1,0,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Unknown,7,2,2,1,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Error/Unknown,0,0,1,0,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Female,1377,1505,1501,1672,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Male,1134,1251,1221,1300,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Unknown,0,1,0,0,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Female,6997,7298,7811,7748,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Male,5098,5427,5763,5800,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Unknown,4,1,1,4,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Female,5648,5758,6044,5987,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Male,4529,4613,4741,4495,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Unknown,2,4,1,2,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Female,13543,13772,14545,14005,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Male,12947,13003,13858,13213,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Unknown,12,11,5,8,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Female,249,367,401,228,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Male,227,325,447,259,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Female,2420,2550,2646,2526,SEQUOIA HOSPITAL #410891,Emergency Department
Male,2010,2063,2008,1968,SEQUOIA HOSPITAL #410891,Emergency Department
Unknown,0,1,0,0,SEQUOIA HOSPITAL #410891,Emergency Department
Female,10481,11946,12668,12679,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Male,7429,8974,9194,9604,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Unknown,3,11,9,10,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Female,4029,4163,4504,4311,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Male,3077,3509,3832,3503,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Unknown,0,6,5,2,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Female,12647,14176,14710,14491,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Male,8836,10653,11012,10734,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Unknown,3,7,10,13,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Female,2866,3286,3260,3190,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Male,2636,2911,3118,2826,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Unknown,0,0,1,1,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Female,2162,2275,2263,2324,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Male,2335,2421,2366,2362,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Unknown,0,1,0,0,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Female,3197,3644,3550,3319,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Male,2803,3384,3201,2892,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Unknown,1,0,0,0,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Female,4478,4822,4612,4792,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
Male,3897,4035,4068,4282,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
Female,1275,1380,1383,1320,SONOMA VALLEY HOSPITAL #491076,Emergency Department
Male,1012,1180,1170,1100,SONOMA VALLEY HOSPITAL #491076,Emergency Department
Female,1519,1539,1421,1320,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
Male,1560,1631,1644,1518,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
Female,1419,1420,1328,1370,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
Male,1605,1484,1357,1314,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
Unknown,3,2,0,1,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
Female,13948,14266,14559,14982,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
Male,10037,10483,10063,10923,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
Female,9748,10820,11082,10854,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Male,6031,6703,7012,6994,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Unknown,5,3,4,2,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Female,8624,8867,8981,8916,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Male,7575,7813,7577,7770,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Unknown,0,1,0,0,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Female,4073,4265,4070,3897,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Male,3352,3604,3572,3350,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Female,6895,7168,7202,7473,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Male,5666,6052,5962,6189,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Unknown,3,3,2,6,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Female,3590,3796,3875,3800,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Male,2805,2711,2890,3000,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Female,6715,6654,6514,6659,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Male,6013,5968,6113,6252,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Female,11839,12280,11558,11071,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Male,9259,9826,9409,9043,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Female,5485,5690,5344,5164,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Male,4585,4663,4424,4267,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Unknown,0,1,1,0,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Female,5373,5857,5930,5952,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Male,5324,5760,5750,5973,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Unknown,4,3,3,4,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Female,2803,2683,2806,2932,ST. ROSE HOSPITAL #010967,Emergency Department
Male,2591,2542,2553,2626,ST. ROSE HOSPITAL #010967,Emergency Department
Unknown,1,0,0,2,ST. ROSE HOSPITAL #010967,Emergency Department
Female,10591,10413,9854,10287,STANFORD HEALTH CARE #430905,Emergency Department
Male,9321,9245,8771,9117,STANFORD HEALTH CARE #430905,Emergency Department
Unknown,8,12,9,10,STANFORD HEALTH CARE #430905,Emergency Department
Female,4412,4522,4292,4269,STANFORD HEALTH CARE TRI-VALLEY #014050,Emergency Department
Male,3871,4108,4060,3820,STANFORD HEALTH CARE TRI-VALLEY #014050,Emergency Department
Unknown,0,1,2,1,STANFORD HEALTH CARE TRI-VALLEY #014050,Emergency Department
Female,3364,3415,3147,3193,SUTTER AMADOR HOSPITAL #034002,Emergency Department
Male,2909,3152,2967,2837,SUTTER AMADOR HOSPITAL #034002,Emergency Department
Female,3727,4153,3890,3641,SUTTER AUBURN FAITH HOSPITAL #310791,Emergency Department
Male,3253,3607,3580,3170,SUTTER AUBURN FAITH HOSPITAL #310791,Emergency Department
Female,2097,2429,2449,2270,SUTTER COAST HOSPITAL #084001,Emergency Department
Male,2002,2313,2379,2139,SUTTER COAST HOSPITAL #084001,Emergency Department
Female,5225,5808,5104,5306,SUTTER DAVIS HOSPITAL #574010,Emergency Department
Male,3501,4205,3690,3791,SUTTER DAVIS HOSPITAL #574010,Emergency Department
Female,6818,7092,6662,6696,SUTTER DELTA MEDICAL CENTER #070934,Emergency Department
Male,5441,5938,5484,5392,SUTTER DELTA MEDICAL CENTER #070934,Emergency Department
Female,2781,2992,3045,2862,SUTTER LAKESIDE HOSPITAL #171395,Emergency Department
Male,2292,2490,2641,2278,SUTTER LAKESIDE HOSPITAL #171395,Emergency Department
Female,12909,13030,12490,13018,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Emergency Department
Male,11238,11165,10501,10947,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Emergency Department
Female,12793,13337,13297,12994,SUTTER ROSEVILLE MEDICAL CENTER #311000,Emergency Department
Male,9484,10022,9361,9510,SUTTER ROSEVILLE MEDICAL CENTER #311000,Emergency Department
Female,4798,5096,5217,5016,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Emergency Department
Male,3869,4293,4068,4059,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Emergency Department
Not Provided/Blank,3,0,0,0,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Emergency Department
Unknown,3,0,0,0,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Emergency Department
Female,3976,4041,3851,3992,SUTTER SOLANO MEDICAL CENTER #481094,Emergency Department
Male,3300,3478,3160,3390,SUTTER SOLANO MEDICAL CENTER #481094,Emergency Department
Female,5355,5511,5156,5335,SUTTER TRACY COMMUNITY HOSPITAL #391056,Emergency Department
Male,4298,4664,4236,4190,SUTTER TRACY COMMUNITY HOSPITAL #391056,Emergency Department
Female,1471,1358,1580,1255,TAHOE FOREST HOSPITAL #291053,Emergency Department
Male,1705,1379,1809,1326,TAHOE FOREST HOSPITAL #291053,Emergency Department
Unknown,1,0,0,0,TAHOE FOREST HOSPITAL #291053,Emergency Department
Female,5145,5251,5323,5388,TEMECULA VALLEY HOSPITAL #334564,Emergency Department
Male,4122,4300,4335,4431,TEMECULA VALLEY HOSPITAL #334564,Emergency Department
Female,11972,12460,12367,12943,TORRANCE MEMORIAL MEDICAL CENTER #190422,Emergency Department
Male,8478,8568,8660,9084,TORRANCE MEMORIAL MEDICAL CENTER #190422,Emergency Department
Unknown,1,3,4,6,TORRANCE MEMORIAL MEDICAL CENTER #190422,Emergency Department
Female,4513,4844,5068,4871,TRI-CITY MEDICAL CENTER #370780,Emergency Department
Male,4207,4608,4663,4745,TRI-CITY MEDICAL CENTER #370780,Emergency Department
Unknown,2,2,1,2,TRI-CITY MEDICAL CENTER #370780,Emergency Department
Female,630,678,690,662,TRINITY HOSPITAL #531059,Emergency Department
Male,640,723,742,635,TRINITY HOSPITAL #531059,Emergency Department
Female,10955,9744,11197,11162,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Emergency Department
Male,10797,9252,11095,10635,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Emergency Department
Not Provided/Blank,6,0,0,0,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Emergency Department
Unknown,20,1,1,17,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Emergency Department
Female,4918,5124,5140,5193,UCI HEALTH-FOUNTAIN VALLEY #301175,Emergency Department
Male,3953,4213,4316,4271,UCI HEALTH-FOUNTAIN VALLEY #301175,Emergency Department
Unknown,2,0,1,1,UCI HEALTH-FOUNTAIN VALLEY #301175,Emergency Department
Female,4286,4137,4304,4312,UCI HEALTH-LAKEWOOD #190240,Emergency Department
Male,3642,3686,3573,3651,UCI HEALTH-LAKEWOOD #190240,Emergency Department
Unknown,1,2,0,0,UCI HEALTH-LAKEWOOD #190240,Emergency Department
Female,3876,3941,3937,4137,UCI HEALTH-LOS ALAMITOS #301248,Emergency Department
Male,3003,2994,3121,3034,UCI HEALTH-LOS ALAMITOS #301248,Emergency Department
Unknown,1,1,0,1,UCI HEALTH-LOS ALAMITOS #301248,Emergency Department
Female,3556,3750,3632,3754,UCI HEALTH-PLACENTIA LINDA #301297,Emergency Department
Male,2831,2812,2881,2892,UCI HEALTH-PLACENTIA LINDA #301297,Emergency Department
Unknown,0,0,0,1,UCI HEALTH-PLACENTIA LINDA #301297,Emergency Department
Female,7171,6204,7117,7072,UCLA WEST VALLEY MEDICAL CENTER #190859,Emergency Department
Male,6201,5505,6013,6052,UCLA WEST VALLEY MEDICAL CENTER #190859,Emergency Department
Unknown,0,0,1,0,UCLA WEST VALLEY MEDICAL CENTER #190859,Emergency Department
Error/Unknown,1,0,0,1,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Female,4899,4350,3368,4459,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Male,5449,5065,4047,5038,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Not Provided/Blank,0,1,0,0,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Unknown,6,3,0,9,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Female,1860,1776,1912,1918,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Emergency Department
Male,3520,3177,3237,3258,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Emergency Department
Unknown,0,0,5,0,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Emergency Department
Female,1401,1358,1376,1525,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Emergency Department
Male,1609,1616,1603,1811,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Emergency Department
Unknown,2,0,0,0,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Emergency Department
Error/Unknown,7,0,0,9,UCSF MEDICAL CENTER #381154,Emergency Department
Female,5099,5282,4956,5246,UCSF MEDICAL CENTER #381154,Emergency Department
Male,5322,5127,4905,5431,UCSF MEDICAL CENTER #381154,Emergency Department
Unknown,1,8,1,10,UCSF MEDICAL CENTER #381154,Emergency Department
Female,9097,9298,9182,9078,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Emergency Department
Male,8761,8730,8560,8824,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Emergency Department
Unknown,0,0,1,0,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Emergency Department
Female,6049,6194,6127,5778,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Emergency Department
Male,5499,5635,5574,5435,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Emergency Department
Unknown,1,1,0,1,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Emergency Department
Female,5406,5547,5399,5442,USC ARCADIA HOSPITAL #190529,Emergency Department
Male,4372,4620,4644,4549,USC ARCADIA HOSPITAL #190529,Emergency Department
Female,3224,2868,2903,2901,USC VERDUGO HILLS HOSPITAL #190818,Emergency Department
Male,2499,2340,2298,2274,USC VERDUGO HILLS HOSPITAL #190818,Emergency Department
Unknown,3,0,1,0,USC VERDUGO HILLS HOSPITAL #190818,Emergency Department
Female,10871,11242,9512,11071,VALLEY CHILDREN'S HOSPITAL #204019,Emergency Department
Male,11685,12325,10487,12297,VALLEY CHILDREN'S HOSPITAL #204019,Emergency Department
Unknown,3,2,0,0,VALLEY CHILDREN'S HOSPITAL #204019,Emergency Department
Female,6788,6931,7222,7311,VALLEY PRESBYTERIAN HOSPITAL #190812,Emergency Department
Male,5546,5394,5566,5833,VALLEY PRESBYTERIAN HOSPITAL #190812,Emergency Department
Unknown,1,0,0,2,VALLEY PRESBYTERIAN HOSPITAL #190812,Emergency Department
Female,5999,6549,6501,6381,VENTURA COUNTY MEDICAL CENTER #560481,Emergency Department
Male,5482,6072,5873,6061,VENTURA COUNTY MEDICAL CENTER #560481,Emergency Department
Unknown,9,12,7,6,VENTURA COUNTY MEDICAL CENTER #560481,Emergency Department
Female,4166,4387,4329,4243,VICTOR VALLEY GLOBAL MEDICAL CENTER #361370,Emergency Department
Male,3552,3538,3530,3623,VICTOR VALLEY GLOBAL MEDICAL CENTER #361370,Emergency Department
Female,6377,6390,6253,6263,WASHINGTON HOSPITAL - FREMONT #010987,Emergency Department
Male,5471,5755,5431,5687,WASHINGTON HOSPITAL - FREMONT #010987,Emergency Department
Unknown,1,0,0,0,WASHINGTON HOSPITAL - FREMONT #010987,Emergency Department
Female,4145,4347,4442,4204,WATSONVILLE COMMUNITY HOSPITAL #444013,Emergency Department
Male,3581,3644,3716,3667,WATSONVILLE COMMUNITY HOSPITAL #444013,Emergency Department
Unknown,1,0,0,1,WATSONVILLE COMMUNITY HOSPITAL #444013,Emergency Department
