EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Veterans Affairs Plan,60,61,50,55,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
Workers' Compensation Health Claim,67,69,46,45,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
Other,4,0,0,10,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
Other Non-federal programs,2,2,3,1,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
Blank/Invalid,0,1,6,4,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
Blue Cross/Blue Shield,1,0,0,0,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
CHAMPUS (TRICARE),29,32,22,24,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Commercial Insurance Company,37,40,50,54,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Exclusive Provider Organization (EPO),1,8,6,1,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Health Maintenance Organization,6,12,16,15,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,313,379,360,328,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Medicaid (Medi-Cal),186,212,178,173,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Medicare Part B,304,286,292,287,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Point of Service (POS),9,12,12,13,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Preferred Provider Organization (PPO),191,212,209,215,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Self Pay,4,4,10,14,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Veterans Affairs Plan,8,14,8,5,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Workers' Compensation Health Claim,0,3,2,1,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Other,5,0,0,0,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Blue Cross/Blue Shield,6,4,3,10,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
CHAMPUS (TRICARE),51,54,46,50,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Commercial Insurance Company,278,282,285,323,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Health Maintenance Organization,18,19,20,24,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,33,45,40,38,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Medicaid (Medi-Cal),277,307,316,305,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Medicare Part B,235,275,222,229,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Self Pay,9,9,5,7,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Workers' Compensation Health Claim,4,7,4,3,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Blue Cross/Blue Shield,8,6,5,9,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Commercial Insurance Company,2,0,3,1,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Health Maintenance Organization,1,2,4,5,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,1,0,2,1,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Medicaid (Medi-Cal),36,51,54,44,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Medicare Part B,0,0,0,6,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Preferred Provider Organization (PPO),0,2,0,1,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Self Pay,0,0,1,0,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Blue Cross/Blue Shield,1,0,1,0,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Commercial Insurance Company,3,2,0,0,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Health Maintenance Organization,152,145,189,175,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,3,1,1,2,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Medicaid (Medi-Cal),1163,1184,1226,1158,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Medicare Part B,250,204,246,243,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Self Pay,7,3,6,1,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Other Non-federal programs,108,149,132,152,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Blue Cross/Blue Shield,46,5,1,0,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
CHAMPUS (TRICARE),0,1,0,0,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Commercial Insurance Company,76,6,2,5,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Error/Unknown,0,0,0,1,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Health Maintenance Organization,25,141,127,145,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,87,0,3,3,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Medicaid (Medi-Cal),2013,2212,2060,2121,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Medicare Part B,153,531,501,517,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Self Pay,269,38,34,33,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Veterans Affairs Plan,1,0,0,0,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Workers' Compensation Health Claim,14,0,2,1,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Other,0,0,1,0,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Other Non-federal programs,377,200,252,262,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Blue Cross/Blue Shield,75,91,67,78,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
CHAMPUS (TRICARE),14,4,10,6,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Commercial Insurance Company,0,6,3,7,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Health Maintenance Organization,84,74,80,87,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,178,198,174,185,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Medicaid (Medi-Cal),43,59,38,43,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Medicare Part B,1044,1029,1011,927,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Preferred Provider Organization (PPO),533,598,532,615,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Self Pay,1,5,2,7,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Veterans Affairs Plan,9,6,5,6,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Workers' Compensation Health Claim,16,16,30,8,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Other,1,1,0,0,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Blue Cross/Blue Shield,206,207,221,170,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
CHAMPUS (TRICARE),2,1,0,1,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Commercial Insurance Company,11,20,15,16,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Exclusive Provider Organization (EPO),46,38,33,38,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Health Maintenance Organization,214,247,262,226,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,5,11,8,4,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Medicaid (Medi-Cal),1086,1109,1168,1029,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Medicare Part B,11,10,13,16,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Point of Service (POS),212,268,293,262,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Preferred Provider Organization (PPO),817,854,938,908,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Self Pay,7,3,8,2,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Veterans Affairs Plan,4,0,4,2,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Other,13,13,9,6,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Other federal program,16,10,12,11,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Other Non-federal programs,2,4,4,5,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
CHAMPUS (TRICARE),33,35,33,32,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Commercial Insurance Company,27,18,17,20,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Error/Unknown,2,1,2,5,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Health Maintenance Organization,12,19,7,13,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,16,29,19,24,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Medicaid (Medi-Cal),132,129,115,137,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Medicare Part B,342,281,311,358,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Preferred Provider Organization (PPO),123,131,117,140,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Self Pay,3,1,3,6,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Veterans Affairs Plan,1,0,0,1,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Workers' Compensation Health Claim,15,9,7,11,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Other,6,3,4,2,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Other Non-federal programs,0,2,1,0,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Blue Cross/Blue Shield,161,171,182,204,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Commercial Insurance Company,49,55,30,49,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Health Maintenance Organization,2,1,2,1,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Medicaid (Medi-Cal),76,91,83,76,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Medicare Part B,94,118,112,109,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Self Pay,0,0,0,2,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Workers' Compensation Health Claim,28,24,20,22,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Other federal program,7,4,7,10,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Blue Cross/Blue Shield,43,47,36,35,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
CHAMPUS (TRICARE),18,21,7,10,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Commercial Insurance Company,551,438,445,393,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Exclusive Provider Organization (EPO),17,18,8,9,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Health Maintenance Organization,40,27,28,32,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,146,141,151,142,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Medicaid (Medi-Cal),79,83,70,75,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Medicare Part B,845,737,696,688,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Point of Service (POS),9,2,13,15,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Preferred Provider Organization (PPO),366,265,320,346,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Self Pay,12,11,9,10,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Veterans Affairs Plan,32,43,33,35,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Workers' Compensation Health Claim,6,6,8,4,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Other,12,10,12,7,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Other federal program,3,4,3,2,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Other Non-federal programs,41,39,74,50,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Blank/Invalid,0,9,0,0,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Blue Cross/Blue Shield,9,5,12,21,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
CHAMPUS (TRICARE),4,1,2,2,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Commercial Insurance Company,58,51,76,70,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Exclusive Provider Organization (EPO),1,0,0,0,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Health Maintenance Organization,12,6,6,5,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,27,16,18,28,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Medicaid (Medi-Cal),8,3,3,17,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Medicare Part B,191,119,113,141,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Point of Service (POS),2,1,3,1,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Preferred Provider Organization (PPO),70,37,55,53,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Self Pay,2,1,0,0,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Veterans Affairs Plan,9,7,3,6,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Workers' Compensation Health Claim,2,2,3,5,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Other,0,0,0,1,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Other federal program,0,0,0,1,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Other Non-federal programs,9,8,6,6,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
CHAMPUS (TRICARE),9,9,7,6,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Commercial Insurance Company,109,148,142,146,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Exclusive Provider Organization (EPO),38,30,27,29,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Health Maintenance Organization,130,150,130,145,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,262,270,325,318,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Medicaid (Medi-Cal),359,400,408,396,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Medicare Part B,834,933,981,910,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Point of Service (POS),42,51,44,51,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Preferred Provider Organization (PPO),452,497,458,463,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Self Pay,31,28,23,31,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Veterans Affairs Plan,0,2,0,0,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Workers' Compensation Health Claim,12,7,3,3,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Other,0,0,1,0,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Other federal program,30,34,59,44,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Commercial Insurance Company,0,3,2,2,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Health Maintenance Organization,115,132,147,151,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Medicaid (Medi-Cal),111,116,132,153,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Medicare Part B,246,302,285,317,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Self Pay,2,2,2,3,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Workers' Compensation Health Claim,5,5,6,5,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Other federal program,4,1,11,6,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
CHAMPUS (TRICARE),22,21,38,20,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Commercial Insurance Company,55,107,86,85,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Exclusive Provider Organization (EPO),0,0,0,26,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Health Maintenance Organization,15,9,11,3,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,190,187,156,208,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Medicaid (Medi-Cal),353,384,368,352,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Medicare Part B,574,544,531,589,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Preferred Provider Organization (PPO),498,526,528,451,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Self Pay,6,3,3,16,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Veterans Affairs Plan,0,1,1,0,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Workers' Compensation Health Claim,4,2,3,3,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Other,1,1,0,34,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Other Non-federal programs,0,1,0,9,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Blank/Invalid,20,0,0,0,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Health Maintenance Organization,46,62,59,71,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,0,0,1,0,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Medicaid (Medi-Cal),630,606,598,655,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Medicare Part B,90,99,101,111,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Self Pay,4,9,6,8,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Other Non-federal programs,44,41,50,55,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Blank/Invalid,0,1,0,0,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Blue Cross/Blue Shield,2,20,9,21,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
Commercial Insurance Company,0,1,0,0,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,0,0,0,1,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
Medicaid (Medi-Cal),3,10,6,3,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
Medicare Part B,5,22,14,19,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
Blue Cross/Blue Shield,0,0,0,1,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Exclusive Provider Organization (EPO),0,0,0,2,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Health Maintenance Organization,1,2,1,2,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,4,5,8,2,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Medicaid (Medi-Cal),129,129,114,109,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Medicare Part B,27,49,25,27,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Preferred Provider Organization (PPO),41,29,45,42,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Self Pay,1,3,2,0,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Workers' Compensation Health Claim,1,1,0,4,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Blue Cross/Blue Shield,3,2,2,3,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Commercial Insurance Company,12,10,4,11,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Health Maintenance Organization,16,11,14,13,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,31,29,30,33,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Medicaid (Medi-Cal),213,199,199,181,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Medicare Part B,10,10,6,13,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Self Pay,1,0,0,0,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Workers' Compensation Health Claim,1,0,0,0,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Automobile Medical,0,0,0,1,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Blue Cross/Blue Shield,22,24,34,25,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
CHAMPUS (TRICARE),31,43,26,36,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Commercial Insurance Company,6,2,9,5,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Exclusive Provider Organization (EPO),2,6,1,2,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Health Maintenance Organization,385,423,404,449,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,849,902,883,828,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Medicaid (Medi-Cal),107,127,158,166,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Medicare Part B,1331,1565,1609,1528,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Preferred Provider Organization (PPO),1399,1448,1603,1860,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Self Pay,19,19,14,10,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Veterans Affairs Plan,64,64,79,82,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Workers' Compensation Health Claim,9,14,9,9,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Other,2,1,2,0,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Other Non-federal programs,0,2,2,0,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
CHAMPUS (TRICARE),11,4,20,15,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Commercial Insurance Company,1,2,1,3,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Exclusive Provider Organization (EPO),17,28,16,31,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Health Maintenance Organization,204,238,218,209,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,253,262,263,263,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Medicaid (Medi-Cal),484,459,571,551,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Medicare Part B,299,284,302,259,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Point of Service (POS),83,75,70,70,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Preferred Provider Organization (PPO),259,246,249,269,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Self Pay,2,0,2,3,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Veterans Affairs Plan,0,0,1,0,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Workers' Compensation Health Claim,11,8,16,12,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Other,0,1,1,1,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Other federal program,3,1,1,2,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
CHAMPUS (TRICARE),9,9,9,9,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH #196168,Ambulatory Surgery
Commercial Insurance Company,0,1,2,2,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH #196168,Ambulatory Surgery
Exclusive Provider Organization (EPO),8,8,12,12,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH #196168,Ambulatory Surgery
