AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
50 - 59,453,458,406,383,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
60 - 69,780,720,791,720,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
70 - 79,638,666,704,700,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
80 Years +,288,283,266,266,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
0 - 9,21,34,20,21,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
10--19,44,35,43,53,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
20 - 29,78,97,60,79,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
30 - 39,143,189,181,175,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
40 - 49,210,262,257,236,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
50 - 59,278,282,272,305,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
60 - 69,395,456,381,427,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
70 - 79,276,342,277,294,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
80 Years +,89,117,96,107,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
10--19,3,3,3,2,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
20 - 29,13,12,13,16,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
30 - 39,45,36,32,37,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
40 - 49,50,49,42,84,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
50 - 59,68,74,47,79,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
60 - 69,108,98,89,121,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
70 - 79,95,62,86,77,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
80 Years +,26,30,33,31,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
0 - 9,1,0,3,0,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
10--19,13,14,23,17,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
20 - 29,48,61,60,70,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
30 - 39,123,123,132,123,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
40 - 49,169,170,164,200,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
50 - 59,213,177,227,233,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
60 - 69,291,261,307,301,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
70 - 79,183,207,218,212,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
80 Years +,113,88,88,96,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
Under 1 Year,15,8,6,9,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
0 - 9,70,79,70,65,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
10--19,59,60,54,59,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
20 - 29,99,75,80,66,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
30 - 39,151,152,140,120,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
40 - 49,220,186,191,221,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
50 - 59,259,281,268,325,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
60 - 69,437,480,545,498,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
70 - 79,417,472,488,513,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
80 Years +,200,256,248,226,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
0 - 9,0,1,0,3,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
10--19,6,2,3,3,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
20 - 29,5,9,9,9,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
30 - 39,20,21,16,11,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
40 - 49,36,21,37,56,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
50 - 59,65,54,56,49,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
60 - 69,123,117,113,109,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
70 - 79,139,140,133,104,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
80 Years +,34,50,46,48,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
Under 1 Year,2,1,0,0,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
0 - 9,37,62,68,74,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
10--19,10,26,34,50,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
20 - 29,41,33,59,39,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
30 - 39,84,105,104,94,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
40 - 49,164,173,175,172,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
50 - 59,212,236,209,200,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
60 - 69,332,336,314,337,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
70 - 79,278,257,280,250,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
80 Years +,119,118,131,132,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
10--19,20,13,20,11,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
20 - 29,60,93,78,63,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
30 - 39,143,148,156,123,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
40 - 49,189,200,181,193,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
50 - 59,208,235,234,226,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
60 - 69,238,239,275,269,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
70 - 79,118,140,138,142,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
80 Years +,29,58,42,29,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
Under 1 Year,1,0,0,0,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
0 - 9,15,23,29,8,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
10--19,42,50,49,57,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
20 - 29,71,76,94,79,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
30 - 39,190,161,165,181,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
40 - 49,277,256,246,282,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
50 - 59,329,354,368,449,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
60 - 69,569,601,619,660,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
70 - 79,815,783,797,770,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
80 Years +,521,517,521,459,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
10--19,0,1,0,0,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
20 - 29,6,10,8,9,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
30 - 39,12,21,18,13,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
40 - 49,35,28,41,42,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
50 - 59,37,48,37,48,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
60 - 69,43,37,35,43,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
70 - 79,12,19,21,24,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
80 Years +,1,5,3,1,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
0 - 9,0,0,1,0,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
10--19,0,4,1,1,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
20 - 29,2,2,2,1,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
30 - 39,9,4,6,2,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
40 - 49,4,6,6,9,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
50 - 59,12,6,7,8,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
60 - 69,25,18,18,28,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
70 - 79,11,12,15,17,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
80 Years +,6,7,4,1,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
20 - 29,4,2,2,4,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
30 - 39,3,2,1,2,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
40 - 49,7,10,4,6,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
50 - 59,4,8,7,7,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
60 - 69,4,7,4,1,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
70 - 79,0,1,1,1,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
80 Years +,0,5,2,0,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
10--19,1,1,3,2,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
20 - 29,11,13,7,11,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
30 - 39,23,16,19,22,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
40 - 49,28,48,57,74,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
50 - 59,62,66,71,75,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
60 - 69,59,54,70,78,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
70 - 79,17,13,17,14,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
80 Years +,3,5,12,5,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
0 - 9,9,19,15,14,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
10--19,13,11,19,8,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
20 - 29,26,39,31,20,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
30 - 39,57,57,66,64,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
40 - 49,63,78,67,52,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
50 - 59,138,140,116,103,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
60 - 69,160,143,110,124,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
70 - 79,90,98,87,101,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
80 Years +,28,26,17,39,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
0 - 9,0,1,1,0,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
10--19,0,0,0,1,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
20 - 29,1,1,0,0,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
30 - 39,1,0,1,1,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
40 - 49,4,1,4,3,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
50 - 59,7,6,3,8,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
60 - 69,14,9,9,6,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
70 - 79,16,7,3,6,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
80 Years +,7,2,0,0,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
Under 1 Year,0,0,1,0,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
0 - 9,6,8,6,9,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
10--19,48,31,36,31,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
20 - 29,58,70,84,69,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
30 - 39,127,127,113,125,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
40 - 49,203,188,184,174,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
50 - 59,159,167,172,130,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
60 - 69,106,116,116,140,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
70 - 79,56,44,47,53,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
80 Years +,13,22,16,16,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
0 - 9,8,8,7,4,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
10--19,15,14,25,16,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
20 - 29,56,48,64,49,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
30 - 39,109,100,111,105,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
40 - 49,156,156,171,163,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
50 - 59,176,194,178,198,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
60 - 69,285,285,253,267,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
70 - 79,239,224,229,219,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
80 Years +,102,103,93,110,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
0 - 9,1,4,1,2,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
10--19,3,3,2,4,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
20 - 29,5,9,10,10,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
30 - 39,26,27,26,21,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
40 - 49,38,45,55,62,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
50 - 59,55,63,38,45,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
60 - 69,98,84,86,105,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
70 - 79,104,96,96,96,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
80 Years +,35,25,34,28,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
Under 1 Year,1,0,0,2,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
0 - 9,6,3,6,8,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
10--19,22,17,13,32,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
20 - 29,13,19,25,37,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
30 - 39,32,43,51,62,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
40 - 49,66,84,70,85,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
50 - 59,126,117,113,112,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
60 - 69,169,212,191,218,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
70 - 79,222,201,210,229,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
80 Years +,94,126,119,118,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
10--19,1,2,0,0,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
20 - 29,10,11,13,2,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
30 - 39,18,13,18,10,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
40 - 49,24,29,28,20,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
50 - 59,34,43,53,46,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
60 - 69,41,35,38,29,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
70 - 79,1,12,11,8,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
80 Years +,1,0,0,1,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
10--19,2,2,0,4,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
20 - 29,12,9,11,13,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
30 - 39,32,36,27,31,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
40 - 49,74,47,51,52,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
50 - 59,75,82,78,78,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
60 - 69,126,118,103,132,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
70 - 79,193,164,167,149,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
80 Years +,79,55,58,49,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
Under 1 Year,0,0,0,1,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
0 - 9,4,7,6,0,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
10--19,61,53,47,9,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
20 - 29,143,137,116,81,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
30 - 39,221,172,172,144,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
40 - 49,276,197,233,264,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
50 - 59,433,313,374,580,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
60 - 69,458,334,427,534,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
70 - 79,305,207,238,182,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
80 Years +,149,114,122,75,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
10--19,0,3,2,0,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
20 - 29,6,8,11,3,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
30 - 39,9,14,8,8,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
40 - 49,22,31,19,27,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
50 - 59,43,49,36,43,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
60 - 69,39,59,36,36,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
70 - 79,32,32,23,24,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
80 Years +,6,9,8,7,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
0 - 9,0,1,1,1,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
10--19,8,4,3,0,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
20 - 29,29,24,23,22,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
30 - 39,61,34,38,41,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
40 - 49,72,51,54,56,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
50 - 59,83,59,62,53,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
60 - 69,74,52,59,51,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
70 - 79,35,29,30,28,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
80 Years +,16,5,11,8,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
Under 1 Year,0,2,1,1,OROVILLE HOSPITAL #040937,Ambulatory Surgery
0 - 9,28,38,23,19,OROVILLE HOSPITAL #040937,Ambulatory Surgery
10--19,40,28,26,32,OROVILLE HOSPITAL #040937,Ambulatory Surgery
20 - 29,51,45,42,65,OROVILLE HOSPITAL #040937,Ambulatory Surgery
30 - 39,98,128,125,154,OROVILLE HOSPITAL #040937,Ambulatory Surgery
40 - 49,170,151,157,208,OROVILLE HOSPITAL #040937,Ambulatory Surgery
50 - 59,291,263,264,316,OROVILLE HOSPITAL #040937,Ambulatory Surgery
60 - 69,421,449,504,512,OROVILLE HOSPITAL #040937,Ambulatory Surgery
70 - 79,434,392,404,468,OROVILLE HOSPITAL #040937,Ambulatory Surgery
80 Years +,130,163,176,164,OROVILLE HOSPITAL #040937,Ambulatory Surgery
20 - 29,1,1,1,0,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
30 - 39,4,2,4,2,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
40 - 49,0,3,2,1,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
50 - 59,2,5,1,2,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
60 - 69,1,2,5,3,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
70 - 79,0,0,3,0,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
80 Years +,0,5,0,0,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
10--19,12,4,11,10,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
20 - 29,45,37,34,29,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
30 - 39,66,73,75,73,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
40 - 49,89,104,99,110,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
50 - 59,140,128,135,147,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
60 - 69,206,206,162,206,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
70 - 79,122,113,119,103,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
80 Years +,27,33,37,28,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
Under 1 Year,0,1,0,0,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
10--19,0,1,1,1,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
20 - 29,1,2,7,0,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
30 - 39,8,4,6,3,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
40 - 49,6,10,11,7,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
50 - 59,15,13,9,18,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
60 - 69,7,10,21,16,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
70 - 79,8,5,7,4,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
80 Years +,3,3,1,1,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
10--19,3,3,9,1,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
20 - 29,17,16,12,16,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
30 - 39,36,37,34,37,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
40 - 49,67,70,75,103,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
50 - 59,101,86,75,99,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
60 - 69,217,249,233,223,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
70 - 79,311,258,251,220,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
80 Years +,167,169,162,187,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
10--19,6,9,1,5,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
20 - 29,34,35,37,30,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
30 - 39,75,65,70,58,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
40 - 49,85,89,66,81,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
50 - 59,133,89,90,125,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
60 - 69,169,173,157,187,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
70 - 79,153,169,153,166,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
80 Years +,69,56,77,79,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
10--19,0,2,0,1,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
20 - 29,4,10,8,11,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
30 - 39,15,12,17,16,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
40 - 49,14,23,18,21,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
50 - 59,23,40,25,31,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
60 - 69,43,52,71,48,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
70 - 79,29,34,42,28,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
80 Years +,14,11,13,11,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
10--19,2,2,7,7,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
20 - 29,4,8,12,12,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
30 - 39,5,12,19,22,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
40 - 49,12,19,21,33,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
50 - 59,33,37,57,58,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
60 - 69,74,83,76,76,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
70 - 79,90,77,59,65,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
80 Years +,13,14,13,25,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
0 - 9,373,411,463,418,PDI SURGERY CENTER #494103,Ambulatory Surgery
10--19,15,10,9,13,PDI SURGERY CENTER #494103,Ambulatory Surgery
20 - 29,2,3,0,1,PDI SURGERY CENTER #494103,Ambulatory Surgery
0 - 9,2,0,0,3,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
10--19,13,10,8,4,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
20 - 29,21,28,25,29,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
30 - 39,51,46,55,58,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
40 - 49,57,56,75,72,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
50 - 59,86,85,103,96,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
60 - 69,122,147,172,140,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
70 - 79,176,151,160,159,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
80 Years +,60,71,73,55,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Under 1 Year,1,1,0,1,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
0 - 9,15,10,18,8,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
