DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,25,29,29,37,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,0,1,0,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
Discharged to home or self care (routine discharge),30,36,52,32,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,10,0,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,0,1,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,18,13,0,17,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
Left against medical advice or discontinued care,0,0,1,0,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
Discharged home with hospice care,1,0,1,0,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged to home or self care (routine discharge),859,831,785,824,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,0,0,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,0,1,1,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to a Medicare certified Long Term Care Hospital (LTCH) with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,1,1,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,5,1,2,2,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,2,0,0,2,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,48,50,55,45,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,2,6,6,9,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Discharged to home or self care (routine discharge),684,631,594,671,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,0,1,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,0,0,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,3,4,3,0,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,31,47,50,57,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,4,3,4,2,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Discharged to home or self care (routine discharge),141,184,194,161,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,0,0,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,0,0,1,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
Left against medical advice or discontinued care,0,0,0,5,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
Discharged to home or self care (routine discharge),231,251,261,297,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,2,1,0,1,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,0,3,0,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
Discharged to home or self care (routine discharge),389,423,470,432,PDI SURGERY CENTER #494103,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,2,0,PDI SURGERY CENTER #494103,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,0,1,0,0,PDI SURGERY CENTER #494103,Ambulatory Surgery
Discharged home with hospice care,0,1,2,1,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Discharged to home or self care (routine discharge),578,583,651,594,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,0,0,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,6,5,16,17,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,3,4,2,4,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Left against medical advice or discontinued care,0,1,0,0,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Discharged to home or self care (routine discharge),1451,1577,1816,1487,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,0,0,2,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,3,1,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,1,1,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,0,0,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,1,0,0,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,3,1,0,2,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,15,14,18,16,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,4,3,4,0,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,5,8,2,8,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Left against medical advice or discontinued care,1,1,0,0,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Discharged home with hospice care,0,0,2,1,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged to home or self care (routine discharge),1677,1603,1532,1377,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,0,0,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,1,1,0,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,0,2,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,2,4,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,34,29,68,49,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,6,9,16,17,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Left against medical advice or discontinued care,0,1,2,2,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Discharged home with hospice care,1,0,2,0,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged to home or self care (routine discharge),5940,6154,5952,5292,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),3,0,0,0,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,1,5,2,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,0,0,0,1,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,2,0,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,1,1,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,4,3,2,3,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,223,212,279,163,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,1,0,1,1,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,23,24,22,32,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,2,0,0,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Left against medical advice or discontinued care,0,3,2,1,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Other,0,0,1,0,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Discharged to home or self care (routine discharge),939,859,728,694,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,2,4,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,16,20,16,13,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,2,0,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,6,4,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Left against medical advice or discontinued care,2,0,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Discharged to home or self care (routine discharge),137,171,137,172,PLUMAS DISTRICT HOSPITAL #320986,Ambulatory Surgery
Discharged to home or self care (routine discharge),2537,2721,2575,2515,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,1,0,0,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,0,0,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,1,0,0,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,1,0,0,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,1,6,2,5,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Discharged to a medical facility with hospice care,0,0,1,0,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged to home or self care (routine discharge),1991,2054,2009,2007,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),2,1,5,2,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to a federal health care facility,0,0,1,0,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,3,2,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,1,4,1,0,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,3,0,0,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,0,0,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,5,4,4,6,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,0,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,0,0,1,9,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,20,15,7,3,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,0,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Left against medical advice or discontinued care,1,6,14,7,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Other,0,0,4,10,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Discharged home with hospice care,1,0,1,0,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Discharged to a medical facility with hospice care,0,0,0,1,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Discharged to home or self care (routine discharge),1425,1274,1356,1293,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),3,2,4,4,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,1,1,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,0,2,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,133,147,151,164,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,14,12,19,13,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Left against medical advice or discontinued care,1,3,1,1,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Discharged home with hospice care,1,2,2,0,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged to a medical facility with hospice care,0,1,0,0,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged to home or self care (routine discharge),1977,2138,2121,2068,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,1,1,0,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,1,2,0,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,1,2,0,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,2,0,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,0,0,1,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,144,120,162,135,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,20,25,23,17,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Left against medical advice or discontinued care,7,6,8,9,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Discharged home with hospice care,1,1,0,0,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged to home or self care (routine discharge),467,505,338,437,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,1,0,1,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to a federal health care facility,2,6,0,4,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,5,3,0,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,1,0,0,0,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,1,1,1,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,2,0,2,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,4,13,1,10,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,6,6,7,11,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,5,12,11,14,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Left against medical advice or discontinued care,1,2,1,1,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Discharged home with hospice care,1,5,4,2,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged to a medical facility with hospice care,0,1,0,0,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged to home or self care (routine discharge),2801,2754,2786,2837,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged/Transferred to a federal health care facility,1,0,0,0,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,4,2,2,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,0,1,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,2,0,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,1,0,0,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,22,19,18,24,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,16,18,13,21,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Left against medical advice or discontinued care,2,2,6,1,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Discharged home with hospice care,3,6,4,1,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged to a medical facility with hospice care,1,3,4,0,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged to home or self care (routine discharge),2514,4806,4896,4675,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),2,0,1,0,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,0,0,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,0,0,0,1,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,2,4,1,2,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,9,5,8,10,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,2,2,1,0,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to Court/Law Enforcement,0,1,0,0,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,104,106,109,141,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,19,16,19,15,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Left against medical advice or discontinued care,3,3,11,4,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Other,0,1,0,0,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Discharged to home or self care (routine discharge),225,181,172,173,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,0,1,0,1,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,0,1,0,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,154,148,153,137,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,2,10,4,8,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Left against medical advice or discontinued care,0,2,1,0,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Discharged home with hospice care,2,0,1,0,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Discharged to home or self care (routine discharge),1686,1752,1775,1768,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,1,2,2,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Discharged/Transferred to a federal health care facility,3,2,2,1,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,1,1,0,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,3,2,6,2,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Discharged/Transferred to a short term general hospital for inpatient care,0,2,0,2,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
