ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Hispanic or Latino,579,468,596,462,MAMMOTH HOSPITAL #260011,Emergency Department
Non Hispanic or Latino Ethnicity,2764,1728,2114,1683,MAMMOTH HOSPITAL #260011,Emergency Department
Unknown,74,18,20,31,MAMMOTH HOSPITAL #260011,Emergency Department
Hispanic or Latino,8603,9482,9336,9031,MARIAN REGIONAL MEDICAL CENTER #420493,Emergency Department
Non Hispanic or Latino Ethnicity,3976,4247,4327,4147,MARIAN REGIONAL MEDICAL CENTER #420493,Emergency Department
Unknown,160,181,203,177,MARIAN REGIONAL MEDICAL CENTER #420493,Emergency Department
Hispanic or Latino,3024,3558,3300,3333,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Emergency Department
Non Hispanic or Latino Ethnicity,4021,4470,4305,4137,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Emergency Department
Unknown,85,78,107,99,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Emergency Department
Hispanic or Latino,2790,3059,2905,2961,MARINHEALTH MEDICAL CENTER #211006,Emergency Department
Non Hispanic or Latino Ethnicity,5595,6108,5824,6026,MARINHEALTH MEDICAL CENTER #211006,Emergency Department
Unknown,149,143,99,90,MARINHEALTH MEDICAL CENTER #211006,Emergency Department
Hispanic or Latino,195,234,214,194,MARK TWAIN MEDICAL CENTER #050932,Emergency Department
Non Hispanic or Latino Ethnicity,2379,2401,2350,2378,MARK TWAIN MEDICAL CENTER #050932,Emergency Department
Unknown,60,54,35,41,MARK TWAIN MEDICAL CENTER #050932,Emergency Department
Error/Unknown,1,0,0,0,MARSHALL MEDICAL CENTER #090933,Emergency Department
Hispanic or Latino,719,778,732,857,MARSHALL MEDICAL CENTER #090933,Emergency Department
Non Hispanic or Latino Ethnicity,5846,6120,6084,6502,MARSHALL MEDICAL CENTER #090933,Emergency Department
Unknown,230,308,328,409,MARSHALL MEDICAL CENTER #090933,Emergency Department
Hispanic or Latino,111,99,103,112,MAYERS MEMORIAL HOSPITAL #450936,Emergency Department
Non Hispanic or Latino Ethnicity,879,973,957,970,MAYERS MEMORIAL HOSPITAL #450936,Emergency Department
Unknown,33,30,29,24,MAYERS MEMORIAL HOSPITAL #450936,Emergency Department
Hispanic or Latino,5483,5843,5432,5650,MEMORIAL HOSPITAL LOS BANOS #240924,Emergency Department
Non Hispanic or Latino Ethnicity,1680,1723,1826,1745,MEMORIAL HOSPITAL LOS BANOS #240924,Emergency Department
Unknown,62,61,70,64,MEMORIAL HOSPITAL LOS BANOS #240924,Emergency Department
Hispanic or Latino,3197,3219,3277,3205,MEMORIAL HOSPITAL OF GARDENA #190521,Emergency Department
Non Hispanic or Latino Ethnicity,4385,4574,4520,4578,MEMORIAL HOSPITAL OF GARDENA #190521,Emergency Department
Unknown,115,130,119,149,MEMORIAL HOSPITAL OF GARDENA #190521,Emergency Department
Hispanic or Latino,8648,8334,8053,8171,MEMORIAL MEDICAL CENTER - MODESTO #500939,Emergency Department
Non Hispanic or Latino Ethnicity,9445,9772,9628,9290,MEMORIAL MEDICAL CENTER - MODESTO #500939,Emergency Department
Unknown,394,424,401,450,MEMORIAL MEDICAL CENTER - MODESTO #500939,Emergency Department
Hispanic or Latino,9561,10351,10250,10667,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Emergency Department
Non Hispanic or Latino Ethnicity,6656,6956,7206,7444,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Emergency Department
Unknown,225,197,222,462,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Emergency Department
Hispanic or Latino,2059,2207,2346,2436,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Emergency Department
Non Hispanic or Latino Ethnicity,5843,6436,6575,6449,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Emergency Department
Unknown,63,96,129,73,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Emergency Department
Hispanic or Latino,1483,1533,1512,1497,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Emergency Department
Non Hispanic or Latino Ethnicity,5564,5696,5848,5867,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Emergency Department
Unknown,68,85,102,180,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Emergency Department
Hispanic or Latino,1931,2181,2193,2055,MENIFEE GLOBAL MEDICAL CENTER #334018,Emergency Department
Non Hispanic or Latino Ethnicity,2051,2141,2142,2177,MENIFEE GLOBAL MEDICAL CENTER #334018,Emergency Department
Unknown,35,31,56,90,MENIFEE GLOBAL MEDICAL CENTER #334018,Emergency Department
Hispanic or Latino,2054,2170,2118,2038,MERCY GENERAL HOSPITAL #340947,Emergency Department
Non Hispanic or Latino Ethnicity,6575,6649,6620,6369,MERCY GENERAL HOSPITAL #340947,Emergency Department
Unknown,80,124,166,90,MERCY GENERAL HOSPITAL #340947,Emergency Department
Hispanic or Latino,8999,9879,10062,9901,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
Non Hispanic or Latino Ethnicity,8085,8504,8597,8535,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
Unknown,50,75,67,86,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
Hispanic or Latino,1737,1767,1719,1723,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
Non Hispanic or Latino Ethnicity,9060,9623,9398,9087,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
Unknown,126,161,139,155,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
Hispanic or Latino,8169,8851,8308,7839,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
Non Hispanic or Latino Ethnicity,7129,7352,7153,6968,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
Unknown,195,207,201,213,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
Hispanic or Latino,1157,1220,1315,1193,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
Non Hispanic or Latino Ethnicity,10348,10199,10392,9876,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
Unknown,45,62,51,61,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
Hispanic or Latino,147,152,169,144,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
Non Hispanic or Latino Ethnicity,2200,2310,2405,2083,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
Unknown,88,83,77,71,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
Hispanic or Latino,2462,2633,2750,2515,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
Non Hispanic or Latino Ethnicity,12153,13108,13038,12880,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
Unknown,67,84,51,72,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
Hispanic or Latino,3848,4126,3963,3854,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
Non Hispanic or Latino Ethnicity,9173,9940,9742,9324,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
Unknown,35,28,30,32,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
Hispanic or Latino,2889,2862,2688,2712,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
Non Hispanic or Latino Ethnicity,7829,7502,7651,7878,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
Unknown,345,332,271,337,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
Hispanic or Latino,1514,1683,1634,1640,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
Non Hispanic or Latino Ethnicity,980,973,1074,1005,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
Unknown,2,1,3,2,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
Hispanic or Latino,121,195,177,128,MODOC MEDICAL CENTER #254005,Emergency Department
Non Hispanic or Latino Ethnicity,845,1053,1150,838,MODOC MEDICAL CENTER #254005,Emergency Department
Unknown,376,297,144,357,MODOC MEDICAL CENTER #254005,Emergency Department
Hispanic or Latino,4121,4431,4293,4302,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
Non Hispanic or Latino Ethnicity,1567,1680,1591,1533,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
Unknown,3,1,5,460,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
Error/Unknown,1,3,5,2,MONTEREY PARK HOSPITAL #190547,Emergency Department
Hispanic or Latino,4273,4718,4592,4985,MONTEREY PARK HOSPITAL #190547,Emergency Department
Non Hispanic or Latino Ethnicity,498,547,516,508,MONTEREY PARK HOSPITAL #190547,Emergency Department
Not Provided/Blank,10,5,12,26,MONTEREY PARK HOSPITAL #190547,Emergency Department
Unknown,15,59,43,41,MONTEREY PARK HOSPITAL #190547,Emergency Department
Hispanic or Latino,525,605,678,682,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
Non Hispanic or Latino Ethnicity,1274,1404,1525,1546,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
Unknown,196,219,244,132,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
Hispanic or Latino,11179,12072,11670,11949,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
Non Hispanic or Latino Ethnicity,1908,1888,1914,1990,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
Unknown,96,84,78,85,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
Hispanic or Latino,4924,5475,4932,5013,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Non Hispanic or Latino Ethnicity,10442,10455,9988,9992,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Unknown,219,217,210,208,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Hispanic or Latino,451,523,546,477,NORTHERN INYO HOSPITAL #141273,Emergency Department
Non Hispanic or Latino Ethnicity,1611,1823,1886,1681,NORTHERN INYO HOSPITAL #141273,Emergency Department
Unknown,32,24,38,39,NORTHERN INYO HOSPITAL #141273,Emergency Department
Hispanic or Latino,5974,6544,6580,6049,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Non Hispanic or Latino Ethnicity,5564,6429,6608,5785,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Unknown,155,194,204,171,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Hispanic or Latino,766,907,846,811,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Non Hispanic or Latino Ethnicity,447,426,409,466,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Not Provided/Blank,0,0,2,0,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Unknown,0,0,0,32,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Hispanic or Latino,1415,1448,1403,1285,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Non Hispanic or Latino Ethnicity,2338,2423,2291,2322,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Unknown,370,424,349,386,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Hispanic or Latino,9687,10324,9751,9866,O'CONNOR HOSPITAL #430837,Emergency Department
Non Hispanic or Latino Ethnicity,5440,5592,5366,5429,O'CONNOR HOSPITAL #430837,Emergency Department
Unknown,115,138,128,146,O'CONNOR HOSPITAL #430837,Emergency Department
Hispanic or Latino,2103,2123,1961,2061,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Non Hispanic or Latino Ethnicity,2878,2766,2839,2793,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Unknown,46,32,43,41,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Hispanic or Latino,3189,3259,3368,3152,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Non Hispanic or Latino Ethnicity,1646,1726,1666,1601,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Unknown,34,41,83,90,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Hispanic or Latino,806,995,933,929,ORCHARD HOSPITAL #040802,Emergency Department
Non Hispanic or Latino Ethnicity,1642,1777,1767,1608,ORCHARD HOSPITAL #040802,Emergency Department
Unknown,55,33,33,65,ORCHARD HOSPITAL #040802,Emergency Department
Hispanic or Latino,323,395,297,370,OROVILLE HOSPITAL #040937,Emergency Department
Non Hispanic or Latino Ethnicity,2237,2674,2457,2453,OROVILLE HOSPITAL #040937,Emergency Department
Unknown,148,116,119,116,OROVILLE HOSPITAL #040937,Emergency Department
Hispanic or Latino,1155,1325,1132,1004,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Non Hispanic or Latino Ethnicity,577,603,562,540,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Unknown,5,5,3,4,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Hispanic or Latino,10971,11648,11850,13048,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Non Hispanic or Latino Ethnicity,9469,9933,10561,11235,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Unknown,168,252,207,175,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Hispanic or Latino,1002,1032,1042,3076,PALO VERDE HOSPITAL #331288,Emergency Department
Non Hispanic or Latino Ethnicity,1402,1143,1222,3767,PALO VERDE HOSPITAL #331288,Emergency Department
Unknown,7,4,9,20,PALO VERDE HOSPITAL #331288,Emergency Department
Hispanic or Latino,7880,8160,8355,8389,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Non Hispanic or Latino Ethnicity,8735,9283,9226,8933,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Unknown,345,319,83,116,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Hispanic or Latino,1648,1874,1752,1734,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Non Hispanic or Latino Ethnicity,5153,5225,5310,5191,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Unknown,28,29,13,22,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Hispanic or Latino,1743,1974,1811,1831,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Non Hispanic or Latino Ethnicity,1938,1866,1996,2009,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Unknown,334,301,333,192,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Hispanic or Latino,1014,1255,1047,1195,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Non Hispanic or Latino Ethnicity,2750,3012,2826,2967,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Unknown,397,310,360,336,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Hispanic or Latino,5083,5366,5385,4541,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Non Hispanic or Latino Ethnicity,3742,3841,4100,3369,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Unknown,301,267,331,231,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Hispanic or Latino,10527,11105,11559,10064,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Non Hispanic or Latino Ethnicity,1643,1744,1709,1635,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Unknown,555,389,359,469,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Hispanic or Latino,12156,12411,12778,11115,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Non Hispanic or Latino Ethnicity,2836,2872,2933,2452,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Not Provided/Blank,0,0,2,0,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Unknown,371,383,361,442,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Hispanic or Latino,9296,9209,8804,9843,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Non Hispanic or Latino Ethnicity,1550,1278,1198,1367,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Unknown,29,80,211,228,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Hispanic or Latino,87,76,92,61,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
Non Hispanic or Latino Ethnicity,921,981,1005,932,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
Unknown,19,112,117,7,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
Hispanic or Latino,11945,12361,12037,12039,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Emergency Department
Non Hispanic or Latino Ethnicity,7515,7630,7625,7421,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Emergency Department
Unknown,437,480,643,839,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Emergency Department
Hispanic or Latino,5034,5239,5198,5341,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Emergency Department
Non Hispanic or Latino Ethnicity,6298,6291,6338,6547,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Emergency Department
Not Provided/Blank,8,14,24,8,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Emergency Department
Unknown,102,117,141,118,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Emergency Department
Hispanic or Latino,3920,4023,3752,4463,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Emergency Department
Non Hispanic or Latino Ethnicity,7477,7788,8037,8702,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Emergency Department
Unknown,200,230,277,296,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Emergency Department
Hispanic or Latino,18383,18820,17283,19073,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Emergency Department
Non Hispanic or Latino Ethnicity,4171,4255,4289,4676,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Emergency Department
Unknown,289,265,229,275,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Emergency Department
Hispanic or Latino,5105,5331,5240,5369,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Emergency Department
Non Hispanic or Latino Ethnicity,3344,3261,3281,3229,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Emergency Department
Unknown,99,131,36,134,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Emergency Department
Hispanic or Latino,4730,4660,4673,4956,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Emergency Department
Non Hispanic or Latino Ethnicity,5159,5147,5157,5260,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Emergency Department
Unknown,174,143,153,160,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Emergency Department
Hispanic or Latino,2074,2280,2431,2413,PROVIDENCE MISSION HOSPITAL #301262,Emergency Department
Non Hispanic or Latino Ethnicity,7424,7804,8383,7807,PROVIDENCE MISSION HOSPITAL #301262,Emergency Department
Unknown,440,446,286,535,PROVIDENCE MISSION HOSPITAL #301262,Emergency Department
Hispanic or Latino,379,477,473,412,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Emergency Department
Non Hispanic or Latino Ethnicity,2879,2992,3185,3059,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Emergency Department
Unknown,155,127,173,179,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Emergency Department
Hispanic or Latino,3019,3314,3155,2996,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Emergency Department
Non Hispanic or Latino Ethnicity,3793,3944,3953,3868,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Emergency Department
Unknown,132,132,121,118,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Emergency Department
Hispanic or Latino,323,404,323,340,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Emergency Department
Non Hispanic or Latino Ethnicity,2275,2310,2266,2153,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Emergency Department
Unknown,96,93,110,128,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Emergency Department
Hispanic or Latino,5553,5881,5506,5889,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Emergency Department
Non Hispanic or Latino Ethnicity,9460,9877,9865,10130,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Emergency Department
Unknown,176,184,188,194,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Emergency Department
Hispanic or Latino,3324,3769,3234,3325,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Emergency Department
Non Hispanic or Latino Ethnicity,6027,6365,6325,6251,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Emergency Department
Unknown,343,389,288,277,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Emergency Department
Hispanic or Latino,11397,11299,11927,11727,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Emergency Department
Non Hispanic or Latino Ethnicity,6353,6511,6880,6879,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Emergency Department
Unknown,479,386,493,545,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Emergency Department
Hispanic or Latino,835,839,861,854,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Emergency Department
Non Hispanic or Latino Ethnicity,6157,6478,6805,6896,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Emergency Department
Unknown,402,369,315,327,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Emergency Department
Hispanic or Latino,5677,6352,6528,6557,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Emergency Department
Non Hispanic or Latino Ethnicity,6917,7936,7986,7980,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Emergency Department
Unknown,740,494,308,494,PROVIDENCE ST. JUDE MEDICAL CENTER #301342,Emergency Department
Hispanic or Latino,8290,8638,8715,8960,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Emergency Department
Non Hispanic or Latino Ethnicity,9255,9484,9049,9355,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Emergency Department
Unknown,585,697,658,719,PROVIDENCE ST. MARY MEDICAL CENTER #361343,Emergency Department
Hispanic or Latino,12959,12668,11669,13746,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Emergency Department
Non Hispanic or Latino Ethnicity,10553,10062,9958,10835,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Emergency Department
Unknown,180,193,190,282,RADY CHILDREN'S HOSPITAL - SAN DIEGO #370673,Emergency Department
Hispanic or Latino,4563,4834,4809,4806,REDLANDS COMMUNITY HOSPITAL #361308,Emergency Department
Non Hispanic or Latino Ethnicity,6688,6739,7076,7255,REDLANDS COMMUNITY HOSPITAL #361308,Emergency Department
Unknown,0,15,12,2,REDLANDS COMMUNITY HOSPITAL #361308,Emergency Department
Hispanic or Latino,11265,11739,10500,10427,REGIONAL MEDICAL CENTER OF SAN JOSE #430705,Emergency Department
Non Hispanic or Latino Ethnicity,6723,7195,6708,6512,REGIONAL MEDICAL CENTER OF SAN JOSE #430705,Emergency Department
Unknown,39,32,51,60,REGIONAL MEDICAL CENTER OF SAN JOSE #430705,Emergency Department
Hispanic or Latino,764,821,839,798,RIDGECREST REGIONAL HOSPITAL #150782,Emergency Department
Non Hispanic or Latino Ethnicity,2962,3052,2914,2919,RIDGECREST REGIONAL HOSPITAL #150782,Emergency Department
Unknown,72,94,137,121,RIDGECREST REGIONAL HOSPITAL #150782,Emergency Department
Hispanic or Latino,12397,13219,13181,13768,RIVERSIDE COMMUNITY HOSPITAL #331312,Emergency Department
Non Hispanic or Latino Ethnicity,8841,9454,9514,9336,RIVERSIDE COMMUNITY HOSPITAL #331312,Emergency Department
Unknown,371,560,543,908,RIVERSIDE COMMUNITY HOSPITAL #331312,Emergency Department
Hispanic or Latino,12439,12790,13217,13594,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Emergency Department
Non Hispanic or Latino Ethnicity,7032,7114,7379,7549,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Emergency Department
Unknown,146,191,129,172,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER #334487,Emergency Department
Hispanic or Latino,2455,2506,2319,2350,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
Non Hispanic or Latino Ethnicity,6422,6408,5716,6162,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
Not Provided/Blank,45,38,20,51,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
Unknown,529,448,467,501,RONALD REAGAN UCLA MEDICAL CENTER #190796,Emergency Department
Hispanic or Latino,1301,1228,1329,1130,SAINT JOHN'S HEALTH CENTER #190756,Emergency Department
Non Hispanic or Latino Ethnicity,5169,5315,5436,5604,SAINT JOHN'S HEALTH CENTER #190756,Emergency Department
Unknown,247,270,266,340,SAINT JOHN'S HEALTH CENTER #190756,Emergency Department
Hispanic or Latino,10641,11590,10904,11202,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Emergency Department
Non Hispanic or Latino Ethnicity,2401,2532,2475,2497,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Emergency Department
Unknown,18,13,11,9,SALINAS VALLEY HEALTH MEDICAL CENTER #270875,Emergency Department
Hispanic or Latino,9962,10173,10500,10083,SAN ANTONIO REGIONAL HOSPITAL #361318,Emergency Department
Non Hispanic or Latino Ethnicity,9357,9172,9311,9063,SAN ANTONIO REGIONAL HOSPITAL #361318,Emergency Department
Unknown,784,931,1240,1108,SAN ANTONIO REGIONAL HOSPITAL #361318,Emergency Department
Hispanic or Latino,1541,1746,1763,1765,SAN DIMAS COMMUNITY HOSPITAL #190673,Emergency Department
Non Hispanic or Latino Ethnicity,1507,1617,1761,1870,SAN DIMAS COMMUNITY HOSPITAL #190673,Emergency Department
Unknown,0,0,0,21,SAN DIMAS COMMUNITY HOSPITAL #190673,Emergency Department
Hispanic or Latino,2573,2538,2683,2726,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Emergency Department
Non Hispanic or Latino Ethnicity,3005,3129,3152,3289,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Emergency Department
Unknown,13,18,20,17,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Emergency Department
Hispanic or Latino,4289,4459,4336,4595,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Non Hispanic or Latino Ethnicity,5284,5486,5584,5844,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Unknown,1,1,0,0,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Hispanic or Latino,5822,6049,6236,5736,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Non Hispanic or Latino Ethnicity,5094,5483,5741,5506,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Not Provided/Blank,0,0,61,0,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Unknown,141,174,279,176,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Hispanic or Latino,6280,6866,6580,6070,SAN MATEO MEDICAL CENTER #410782,Emergency Department
