ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Unknown,14,11,7,11,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER #191306,Ambulatory Surgery
Hispanic or Latino,623,810,757,691,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,373,469,407,359,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Ambulatory Surgery
Unknown,64,102,113,235,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL #364502,Ambulatory Surgery
Hispanic or Latino,2564,2418,2418,2530,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3813,3809,3477,3535,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
Unknown,161,244,305,299,LOMA LINDA UNIVERSITY MEDICAL CENTER #361246,Ambulatory Surgery
Hispanic or Latino,237,297,335,291,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,844,900,825,817,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Unknown,13,17,5,22,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA #334589,Ambulatory Surgery
Hispanic or Latino,395,413,412,391,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,490,557,489,556,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Unknown,26,32,40,42,LOMPOC VALLEY MEDICAL CENTER #420491,Ambulatory Surgery
Hispanic or Latino,5,10,16,36,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,43,51,53,31,LOS ANGELES COMMUNITY HOSPITAL #190198,Ambulatory Surgery
Hispanic or Latino,1180,1185,1286,1210,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,449,427,447,461,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Unknown,58,76,68,60,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER #191231,Ambulatory Surgery
Hispanic or Latino,2391,2427,2350,2392,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,581,623,555,608,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Not Provided/Blank,2,4,0,2,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Unknown,87,80,78,86,LOS ANGELES GENERAL MEDICAL CENTER #191228,Ambulatory Surgery
Hispanic or Latino,135,181,134,154,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1707,1719,1657,1653,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Unknown,156,187,161,162,LOS ROBLES HOSPITAL & MEDICAL CENTER #560492,Ambulatory Surgery
Hispanic or Latino,1037,1065,1160,1005,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1547,1663,1705,1548,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Unknown,68,67,123,143,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD #434040,Ambulatory Surgery
Hispanic or Latino,38,39,24,51,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,667,615,591,679,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Unknown,7,4,21,19,MAD RIVER COMMUNITY HOSPITAL #121002,Ambulatory Surgery
Hispanic or Latino,67,81,71,85,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,340,356,348,369,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Unknown,10,27,17,19,MAMMOTH HOSPITAL #260011,Ambulatory Surgery
Hispanic or Latino,884,684,708,754,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1327,1206,1190,1089,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Unknown,9,11,15,10,MARIAN REGIONAL MEDICAL CENTER #420493,Ambulatory Surgery
Hispanic or Latino,88,72,105,101,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Non Hispanic or Latino Ethnicity,313,182,194,254,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Unknown,3,3,1,2,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE #400466",Ambulatory Surgery
Hispanic or Latino,319,365,392,413,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1856,2090,2160,2075,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Unknown,133,104,56,54,MARINHEALTH MEDICAL CENTER #211006,Ambulatory Surgery
Hispanic or Latino,14,18,12,24,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,463,534,558,595,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Unknown,6,9,15,18,MARK TWAIN MEDICAL CENTER #050932,Ambulatory Surgery
Error/Unknown,0,4,0,0,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Hispanic or Latino,140,191,163,166,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1575,1548,1526,1590,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Unknown,23,43,36,40,MARSHALL MEDICAL CENTER #090933,Ambulatory Surgery
Hispanic or Latino,614,573,561,659,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Non Hispanic or Latino Ethnicity,188,219,235,223,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Not Provided/Blank,2,1,1,1,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Unknown,10,25,18,17,"MARTIN LUTHER KING, JR. AMBULATORY SURGERY CENTER #198064",Ambulatory Surgery
Hispanic or Latino,0,5,1,1,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,10,48,28,43,MAYERS MEMORIAL HOSPITAL #450936,Ambulatory Surgery
Hispanic or Latino,144,168,150,153,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,57,43,42,32,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Unknown,3,7,3,4,MEMORIAL HOSPITAL LOS BANOS #240924,Ambulatory Surgery
Hispanic or Latino,191,170,168,167,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,95,86,84,74,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Unknown,1,5,3,13,MEMORIAL HOSPITAL OF GARDENA #190521,Ambulatory Surgery
Hispanic or Latino,969,1127,1156,1255,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3137,3371,3514,3574,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Unknown,120,142,163,172,MEMORIAL MEDICAL CENTER - MODESTO #500939,Ambulatory Surgery
Hispanic or Latino,671,664,734,712,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,921,911,953,947,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Unknown,35,33,44,29,MEMORIALCARE LONG BEACH MEDICAL CENTER #190525,Ambulatory Surgery
Hispanic or Latino,445,393,519,467,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH #196168,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,337,332,405,383,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH #196168,Ambulatory Surgery
Unknown,10,11,15,4,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH #196168,Ambulatory Surgery
Hispanic or Latino,315,297,291,328,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1395,1380,1523,1493,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Ambulatory Surgery
Unknown,66,81,64,65,MEMORIALCARE ORANGE COAST MEDICAL CENTER #300225,Ambulatory Surgery
Hispanic or Latino,136,115,128,136,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1086,997,1054,1032,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Ambulatory Surgery
Unknown,11,11,5,13,MEMORIALCARE SADDLEBACK MEDICAL CENTER #301317,Ambulatory Surgery
Hispanic or Latino,1,22,12,22,MENIFEE GLOBAL MEDICAL CENTER #334018,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,4,21,23,41,MENIFEE GLOBAL MEDICAL CENTER #334018,Ambulatory Surgery
Unknown,0,1,1,0,MENIFEE GLOBAL MEDICAL CENTER #334018,Ambulatory Surgery
Hispanic or Latino,369,383,385,368,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2308,2301,2302,2204,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
Unknown,2,4,8,7,MERCY GENERAL HOSPITAL #340947,Ambulatory Surgery
Hispanic or Latino,667,815,670,726,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,859,991,911,964,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
Unknown,8,8,6,7,MERCY HOSPITAL - BAKERSFIELD #150761,Ambulatory Surgery
Hispanic or Latino,25,24,31,43,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,381,337,314,402,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
Unknown,2,3,0,2,MERCY HOSPITAL OF FOLSOM #344029,Ambulatory Surgery
Hispanic or Latino,515,470,523,533,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,632,625,691,711,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
Unknown,7,6,8,8,MERCY MEDICAL CENTER - MERCED #240942,Ambulatory Surgery
Hispanic or Latino,112,134,144,137,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1811,1909,1937,1957,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
Unknown,4,6,9,8,MERCY MEDICAL CENTER - REDDING #450949,Ambulatory Surgery
Hispanic or Latino,15,19,11,19,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,406,393,390,370,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
Unknown,7,3,12,3,MERCY MEDICAL CENTER MT. SHASTA #470871,Ambulatory Surgery
Hispanic or Latino,125,173,182,177,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1143,1163,1167,1159,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
Unknown,11,11,25,12,MERCY SAN JUAN MEDICAL CENTER #340950,Ambulatory Surgery
Hispanic or Latino,233,252,231,235,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,771,872,892,821,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
Unknown,1,2,1,0,METHODIST HOSPITAL OF SACRAMENTO #340951,Ambulatory Surgery
Hispanic or Latino,342,350,389,402,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2378,2352,2396,2457,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
Unknown,110,119,103,86,MILLS-PENINSULA MEDICAL CENTER #410852,Ambulatory Surgery
Hispanic or Latino,74,86,68,106,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,70,83,93,74,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
Unknown,2,0,2,0,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Ambulatory Surgery
Hispanic or Latino,4,5,9,10,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,65,52,50,55,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
Unknown,0,2,1,2,MODOC MEDICAL CENTER #254005,Ambulatory Surgery
Hispanic or Latino,19,25,15,19,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,3,10,6,2,MONROVIA MEMORIAL HOSPITAL #190541,Ambulatory Surgery
Hispanic or Latino,136,145,176,177,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,63,66,74,98,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
Unknown,5,5,6,6,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Ambulatory Surgery
Hispanic or Latino,441,481,395,400,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,127,110,125,115,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
Not Provided/Blank,1,1,0,0,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
Unknown,15,19,8,10,MONTEREY PARK HOSPITAL #190547,Ambulatory Surgery
Hispanic or Latino,10,7,2,6,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,38,20,19,19,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
Unknown,2,0,0,0,MOUNTAINS COMMUNITY HOSPITAL #361266,Ambulatory Surgery
Hispanic or Latino,669,635,647,640,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,106,134,124,105,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
Unknown,1,4,4,2,NATIVIDAD MEDICAL CENTER #274043,Ambulatory Surgery
Hispanic or Latino,267,259,269,277,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,853,849,827,827,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
Unknown,26,24,35,27,NORTHBAY MEDICAL CENTER #481357,Ambulatory Surgery
Hispanic or Latino,51,55,49,56,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,305,295,294,307,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
Unknown,9,6,5,10,NORTHERN INYO HOSPITAL #141273,Ambulatory Surgery
Hispanic or Latino,208,193,199,248,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,540,625,596,650,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
Unknown,3,4,3,5,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Ambulatory Surgery
Hispanic or Latino,47,59,81,60,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,83,86,80,56,NORWALK COMMUNITY HOSPITAL #190570,Ambulatory Surgery
Hispanic or Latino,81,59,82,64,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,458,403,377,401,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
Unknown,54,51,36,43,NOVATO COMMUNITY HOSPITAL #214034,Ambulatory Surgery
Hispanic or Latino,1030,776,854,1062,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,988,722,853,775,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
Unknown,32,36,28,33,O'CONNOR HOSPITAL #430837,Ambulatory Surgery
Hispanic or Latino,56,82,56,53,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,93,115,86,91,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
Unknown,8,8,1,4,OAK VALLEY HOSPITAL DISTRICT #500967,Ambulatory Surgery
Hispanic or Latino,231,149,186,162,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,146,110,93,98,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
Unknown,1,0,2,0,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Ambulatory Surgery
Hispanic or Latino,150,168,160,198,OROVILLE HOSPITAL #040937,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1417,1453,1492,1642,OROVILLE HOSPITAL #040937,Ambulatory Surgery
Unknown,96,38,70,99,OROVILLE HOSPITAL #040937,Ambulatory Surgery
Hispanic or Latino,8,11,4,5,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,0,6,3,3,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
Unknown,0,1,9,0,PACIFICA HOSPITAL OF THE VALLEY #190696,Ambulatory Surgery
Hispanic or Latino,263,253,249,253,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,441,441,422,451,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
Unknown,3,4,1,2,PALMDALE REGIONAL MEDICAL CENTER #196405,Ambulatory Surgery
Hispanic or Latino,28,21,22,20,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,20,27,39,30,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
Unknown,0,1,2,0,PALO VERDE HOSPITAL #331288,Ambulatory Surgery
Hispanic or Latino,181,160,135,170,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,735,724,712,708,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Unknown,3,4,4,8,PALOMAR MEDICAL CENTER  #374382,Ambulatory Surgery
Hispanic or Latino,147,137,116,144,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,574,545,535,583,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Unknown,3,3,0,4,PALOMAR MEDICAL CENTER POWAY #370977,Ambulatory Surgery
Hispanic or Latino,91,103,119,91,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,48,81,72,68,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
Unknown,3,0,3,8,PARADISE VALLEY HOSPITAL #370759,Ambulatory Surgery
Hispanic or Latino,9,23,18,18,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,222,225,245,279,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
Unknown,2,4,1,1,PATIENTS' HOSPITAL OF REDDING #454013,Ambulatory Surgery
Hispanic or Latino,239,244,297,289,PDI SURGERY CENTER #494103,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,141,171,168,134,PDI SURGERY CENTER #494103,Ambulatory Surgery
Unknown,10,9,7,9,PDI SURGERY CENTER #494103,Ambulatory Surgery
Hispanic or Latino,97,102,136,122,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,457,460,506,459,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Unknown,34,32,29,35,PETALUMA VALLEY HOSPITAL #491001,Ambulatory Surgery
Hispanic or Latino,501,641,705,659,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,953,934,1086,781,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Not Provided/Blank,0,0,0,1,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Unknown,28,30,53,76,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Ambulatory Surgery
Hispanic or Latino,1120,1062,1081,929,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,566,568,530,495,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Unknown,32,13,12,29,PIH HEALTH HOSPITAL - DOWNEY #190243,Ambulatory Surgery
Hispanic or Latino,3697,3868,3762,3299,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2223,2247,2258,1966,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Unknown,277,284,249,231,PIH HEALTH WHITTIER HOSPITAL #190631,Ambulatory Surgery
Hispanic or Latino,823,749,623,614,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,128,126,92,69,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Unknown,17,8,31,28,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Ambulatory Surgery
Hispanic or Latino,7,6,2,10,PLUMAS DISTRICT HOSPITAL #320986,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,126,153,128,153,PLUMAS DISTRICT HOSPITAL #320986,Ambulatory Surgery
Unknown,4,12,7,9,PLUMAS DISTRICT HOSPITAL #320986,Ambulatory Surgery
Hispanic or Latino,1137,1342,1214,1212,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1386,1379,1350,1293,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Unknown,16,10,13,15,POMONA VALLEY HOSPITAL MEDICAL CENTER #190630,Ambulatory Surgery
Hispanic or Latino,739,801,784,797,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1261,1259,1236,1223,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Unknown,21,31,31,26,PRISCILLA CHAN & MARK ZUCKERBERG SAN FRANCISCO GENERAL HOSPITAL & TRAUMA CENTER #380939,Ambulatory Surgery
Hispanic or Latino,281,264,285,262,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1143,1051,1099,1084,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Unknown,154,123,149,133,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER #190517,Ambulatory Surgery
Hispanic or Latino,1085,1183,1213,1157,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,985,1054,1060,1013,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Unknown,81,59,50,60,PROVIDENCE HOLY CROSS MEDICAL CENTER #190385,Ambulatory Surgery
Hispanic or Latino,197,215,192,193,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,264,304,147,256,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Unknown,28,35,23,32,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO #190680,Ambulatory Surgery
Hispanic or Latino,697,757,732,794,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2045,1951,1989,1983,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Unknown,101,96,110,111,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE #190470,Ambulatory Surgery
Hispanic or Latino,256,424,419,423,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2254,4065,4207,3989,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Unknown,149,465,428,437,PROVIDENCE MISSION HOSPITAL #301262,Ambulatory Surgery
Hispanic or Latino,16,25,20,26,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,335,300,298,272,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Unknown,30,17,13,21,PROVIDENCE MISSION HOSPITAL - LAGUNA BEACH #301337,Ambulatory Surgery
Hispanic or Latino,578,555,602,591,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1077,1127,1094,1052,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Unknown,156,186,157,159,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER #281047,Ambulatory Surgery
Hispanic or Latino,36,33,33,39,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,374,414,363,481,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Ambulatory Surgery
Unknown,25,19,18,12,PROVIDENCE REDWOOD MEMORIAL HOSPITAL #121051,Ambulatory Surgery
Hispanic or Latino,629,667,776,744,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1798,1923,1900,1785,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Ambulatory Surgery
Unknown,44,41,48,52,PROVIDENCE SAINT JOSEPH MEDICAL CENTER #190758,Ambulatory Surgery
Hispanic or Latino,626,544,579,552,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2824,2838,2872,2678,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Ambulatory Surgery
Unknown,159,191,154,169,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL-MONTGOMERY #491064,Ambulatory Surgery
Hispanic or Latino,1063,1058,1101,990,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,1765,1795,1741,1685,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Ambulatory Surgery
Unknown,118,90,79,86,PROVIDENCE ST. JOSEPH HOSPITAL #301340,Ambulatory Surgery
Hispanic or Latino,150,163,173,211,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Ambulatory Surgery
Non Hispanic or Latino Ethnicity,2173,1950,2108,2328,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA #121080,Ambulatory Surgery
