EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Preferred Provider Organization (PPO),330,356,270,277,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Self Pay,911,1105,836,759,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Veterans Affairs Plan,58,44,40,51,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Workers' Compensation Health Claim,161,130,159,129,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Other Non-federal programs,202,224,247,230,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Blank/Invalid,1,3,2,3,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Automobile Medical,0,3,1,3,NORTHERN INYO HOSPITAL #141273,Emergency Department
CHAMPUS (TRICARE),33,54,47,34,NORTHERN INYO HOSPITAL #141273,Emergency Department
Commercial Insurance Company,123,178,184,135,NORTHERN INYO HOSPITAL #141273,Emergency Department
Medicaid (Medi-Cal),700,754,736,682,NORTHERN INYO HOSPITAL #141273,Emergency Department
Medicare Part B,569,593,688,533,NORTHERN INYO HOSPITAL #141273,Emergency Department
Preferred Provider Organization (PPO),490,576,591,604,NORTHERN INYO HOSPITAL #141273,Emergency Department
Self Pay,112,132,138,146,NORTHERN INYO HOSPITAL #141273,Emergency Department
Veterans Affairs Plan,0,0,1,3,NORTHERN INYO HOSPITAL #141273,Emergency Department
Workers' Compensation Health Claim,59,76,79,50,NORTHERN INYO HOSPITAL #141273,Emergency Department
Other,8,4,5,7,NORTHERN INYO HOSPITAL #141273,Emergency Department
Blue Cross/Blue Shield,62,77,67,59,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
CHAMPUS (TRICARE),18,25,24,21,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Commercial Insurance Company,15,30,24,24,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Exclusive Provider Organization (EPO),2,5,9,3,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Health Maintenance Organization,696,831,849,742,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,974,1073,1164,958,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Medicaid (Medi-Cal),6742,7491,7625,6910,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Medicare Part A,0,0,2,2,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Medicare Part B,1085,1256,1283,1102,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Preferred Provider Organization (PPO),1139,1243,1246,1073,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Self Pay,675,791,765,826,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Workers' Compensation Health Claim,66,98,105,75,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Other,0,0,0,1,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Other federal program,138,171,160,163,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Other Non-federal programs,81,76,69,46,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Blue Cross/Blue Shield,94,103,84,87,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
CHAMPUS (TRICARE),3,1,3,4,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Commercial Insurance Company,71,110,88,56,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Health Maintenance Organization,20,32,27,47,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,50,56,50,32,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Medicaid (Medi-Cal),852,883,877,789,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Medicare Part B,0,0,1,134,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Preferred Provider Organization (PPO),10,21,14,28,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Self Pay,93,104,81,118,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Workers' Compensation Health Claim,8,10,19,8,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Other Non-federal programs,12,13,13,6,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Automobile Medical,1,0,0,0,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Blue Cross/Blue Shield,16,2,15,8,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
CHAMPUS (TRICARE),21,19,17,30,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Commercial Insurance Company,17,12,11,12,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Exclusive Provider Organization (EPO),1,3,2,1,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Health Maintenance Organization,182,173,162,178,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,214,233,206,253,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Medicaid (Medi-Cal),1862,1944,1703,1766,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Medicare Part B,895,872,849,773,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Preferred Provider Organization (PPO),607,692,706,659,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Self Pay,254,300,318,251,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Veterans Affairs Plan,26,22,27,30,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Workers' Compensation Health Claim,25,22,20,24,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Other,2,1,6,4,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Other Non-federal programs,0,0,1,4,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Automobile Medical,1,2,1,2,O'CONNOR HOSPITAL #430837,Emergency Department
Blue Cross/Blue Shield,420,372,516,456,O'CONNOR HOSPITAL #430837,Emergency Department
CHAMPUS (TRICARE),0,0,15,15,O'CONNOR HOSPITAL #430837,Emergency Department
Commercial Insurance Company,760,767,1135,1162,O'CONNOR HOSPITAL #430837,Emergency Department
Health Maintenance Organization,2330,2521,241,296,O'CONNOR HOSPITAL #430837,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,159,122,0,0,O'CONNOR HOSPITAL #430837,Emergency Department
Medicaid (Medi-Cal),7710,8026,9164,9418,O'CONNOR HOSPITAL #430837,Emergency Department
Medicare Part A,15,12,8,14,O'CONNOR HOSPITAL #430837,Emergency Department
Medicare Part B,1613,1910,1437,1339,O'CONNOR HOSPITAL #430837,Emergency Department
Point of Service (POS),272,273,278,254,O'CONNOR HOSPITAL #430837,Emergency Department
Preferred Provider Organization (PPO),361,423,719,714,O'CONNOR HOSPITAL #430837,Emergency Department
Self Pay,879,967,934,989,O'CONNOR HOSPITAL #430837,Emergency Department
Title V,0,3,0,0,O'CONNOR HOSPITAL #430837,Emergency Department
Veterans Affairs Plan,22,14,0,0,O'CONNOR HOSPITAL #430837,Emergency Department
Workers' Compensation Health Claim,192,213,240,215,O'CONNOR HOSPITAL #430837,Emergency Department
Other,98,5,289,295,O'CONNOR HOSPITAL #430837,Emergency Department
Other Non-federal programs,410,424,268,272,O'CONNOR HOSPITAL #430837,Emergency Department
Blue Cross/Blue Shield,398,340,386,357,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Commercial Insurance Company,296,295,269,258,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Health Maintenance Organization,128,98,127,117,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,252,293,265,274,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Medicaid (Medi-Cal),3312,3151,3057,3209,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Medicare Part A,1,0,2,0,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Medicare Part B,15,14,11,10,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Preferred Provider Organization (PPO),106,96,92,90,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Self Pay,155,230,208,188,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Workers' Compensation Health Claim,39,51,69,53,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Other,24,17,23,29,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Other federal program,301,336,334,310,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Blue Cross/Blue Shield,17,26,34,39,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
CHAMPUS (TRICARE),10,7,4,14,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Commercial Insurance Company,218,267,315,312,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Exclusive Provider Organization (EPO),11,26,29,27,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Health Maintenance Organization,366,364,337,328,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,336,321,346,327,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Medicaid (Medi-Cal),2803,2797,2870,2676,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Medicare Part B,192,228,205,195,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Preferred Provider Organization (PPO),315,295,296,310,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Self Pay,422,492,518,514,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Veterans Affairs Plan,7,8,4,3,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Workers' Compensation Health Claim,73,79,73,59,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Other federal program,2,10,4,1,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Other Non-federal programs,58,58,74,36,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Blank/Invalid,39,48,8,2,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Blue Cross/Blue Shield,0,0,0,1,ORCHARD HOSPITAL #040802,Emergency Department
Commercial Insurance Company,403,464,473,428,ORCHARD HOSPITAL #040802,Emergency Department
Medicaid (Medi-Cal),1500,1661,1515,1503,ORCHARD HOSPITAL #040802,Emergency Department
Medicare Part B,449,467,530,484,ORCHARD HOSPITAL #040802,Emergency Department
Self Pay,145,211,212,178,ORCHARD HOSPITAL #040802,Emergency Department
Workers' Compensation Health Claim,6,2,3,8,ORCHARD HOSPITAL #040802,Emergency Department
Blue Cross/Blue Shield,249,290,287,282,OROVILLE HOSPITAL #040937,Emergency Department
Commercial Insurance Company,127,171,164,147,OROVILLE HOSPITAL #040937,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,145,173,182,198,OROVILLE HOSPITAL #040937,Emergency Department
Medicaid (Medi-Cal),1454,1684,1482,1479,OROVILLE HOSPITAL #040937,Emergency Department
Medicare Part B,470,541,507,527,OROVILLE HOSPITAL #040937,Emergency Department
Self Pay,96,120,108,142,OROVILLE HOSPITAL #040937,Emergency Department
Veterans Affairs Plan,45,53,41,50,OROVILLE HOSPITAL #040937,Emergency Department
Workers' Compensation Health Claim,65,82,69,65,OROVILLE HOSPITAL #040937,Emergency Department
Other,39,39,22,36,OROVILLE HOSPITAL #040937,Emergency Department
Other Non-federal programs,18,32,11,13,OROVILLE HOSPITAL #040937,Emergency Department
Blue Cross/Blue Shield,0,0,1,0,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Commercial Insurance Company,63,77,60,60,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Health Maintenance Organization,65,77,57,62,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,67,0,74,0,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Medicaid (Medi-Cal),1163,1409,1254,1083,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Medicare Part B,96,5,0,132,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Preferred Provider Organization (PPO),54,59,55,54,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Self Pay,186,270,167,137,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Workers' Compensation Health Claim,43,36,29,18,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Other,0,0,0,2,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Automobile Medical,18,9,4,5,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Blue Cross/Blue Shield,158,157,160,153,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
CHAMPUS (TRICARE),263,264,289,336,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Commercial Insurance Company,184,243,290,203,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Health Maintenance Organization,5512,6127,7360,11199,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1361,1412,1538,1545,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Medicaid (Medi-Cal),10983,11240,10323,8392,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Medicare Part B,1022,1095,1203,1124,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Preferred Provider Organization (PPO),180,211,223,256,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Self Pay,824,943,1060,1093,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Veterans Affairs Plan,17,24,46,38,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Workers' Compensation Health Claim,86,108,121,114,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Other,0,0,1,0,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Automobile Medical,0,1,0,1,PALO VERDE HOSPITAL #331288,Emergency Department
Blue Cross/Blue Shield,113,147,284,544,PALO VERDE HOSPITAL #331288,Emergency Department
CHAMPUS (TRICARE),4,4,10,18,PALO VERDE HOSPITAL #331288,Emergency Department
Commercial Insurance Company,224,186,134,544,PALO VERDE HOSPITAL #331288,Emergency Department
Disability,0,2,0,2,PALO VERDE HOSPITAL #331288,Emergency Department
Health Maintenance Organization,58,33,0,91,PALO VERDE HOSPITAL #331288,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,6,0,0,6,PALO VERDE HOSPITAL #331288,Emergency Department
Medicaid (Medi-Cal),902,1254,1049,3205,PALO VERDE HOSPITAL #331288,Emergency Department
Medicare Part A,1,0,2,3,PALO VERDE HOSPITAL #331288,Emergency Department
Medicare Part B,667,160,398,1225,PALO VERDE HOSPITAL #331288,Emergency Department
Preferred Provider Organization (PPO),3,3,0,6,PALO VERDE HOSPITAL #331288,Emergency Department
Self Pay,165,157,227,549,PALO VERDE HOSPITAL #331288,Emergency Department
Title V,1,0,0,1,PALO VERDE HOSPITAL #331288,Emergency Department
Veterans Affairs Plan,6,0,22,28,PALO VERDE HOSPITAL #331288,Emergency Department
Workers' Compensation Health Claim,49,40,31,120,PALO VERDE HOSPITAL #331288,Emergency Department
Other,45,31,8,84,PALO VERDE HOSPITAL #331288,Emergency Department
Other federal program,162,159,108,429,PALO VERDE HOSPITAL #331288,Emergency Department
Other Non-federal programs,5,2,0,7,PALO VERDE HOSPITAL #331288,Emergency Department
Blue Cross/Blue Shield,577,553,561,585,PALOMAR MEDICAL CENTER  #374382,Emergency Department
CHAMPUS (TRICARE),201,232,193,254,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Commercial Insurance Company,529,540,521,483,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Health Maintenance Organization,1914,2010,2016,1857,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1848,2098,2081,2151,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Medicaid (Medi-Cal),8057,8153,8075,7894,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Medicare Part B,1778,1914,1819,1661,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Preferred Provider Organization (PPO),681,790,702,770,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Self Pay,1245,1292,1532,1656,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Workers' Compensation Health Claim,129,179,164,125,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Other federal program,1,1,0,2,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Blue Cross/Blue Shield,314,327,331,296,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
CHAMPUS (TRICARE),163,186,203,197,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Commercial Insurance Company,211,211,258,255,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Health Maintenance Organization,914,951,1026,958,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,858,854,831,859,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Medicaid (Medi-Cal),2635,2751,2621,2714,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Medicare Part B,920,963,919,860,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Preferred Provider Organization (PPO),444,435,466,414,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Self Pay,282,346,339,326,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Workers' Compensation Health Claim,88,104,81,68,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
CHAMPUS (TRICARE),145,116,106,96,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Commercial Insurance Company,250,294,284,260,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Health Maintenance Organization,58,63,70,54,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,382,387,366,390,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Medicaid (Medi-Cal),2610,2673,2684,2548,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Medicare Part B,291,314,354,318,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Preferred Provider Organization (PPO),73,85,81,83,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Self Pay,133,137,126,174,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Workers' Compensation Health Claim,53,43,58,89,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Other,20,29,11,20,PARADISE VALLEY HOSPITAL #370759,Emergency Department
Automobile Medical,1,2,2,2,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Blue Cross/Blue Shield,1,1,0,0,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
CHAMPUS (TRICARE),102,83,84,68,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Commercial Insurance Company,6,12,3,4,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Exclusive Provider Organization (EPO),11,17,15,7,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Health Maintenance Organization,348,375,354,414,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,463,494,534,546,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Medicaid (Medi-Cal),1656,1932,1619,1817,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Medicare Part B,628,671,699,727,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Point of Service (POS),46,38,45,41,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Preferred Provider Organization (PPO),502,541,483,493,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Self Pay,273,316,293,257,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Veterans Affairs Plan,49,29,36,55,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Workers' Compensation Health Claim,66,62,60,59,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Other,1,3,0,0,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Other federal program,1,0,2,1,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Other Non-federal programs,7,1,4,7,PETALUMA VALLEY HOSPITAL #491001,Emergency Department
Blue Cross/Blue Shield,116,117,99,96,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
CHAMPUS (TRICARE),5,7,9,10,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Commercial Insurance Company,136,122,155,94,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Error/Unknown,0,0,0,4,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Exclusive Provider Organization (EPO),71,73,61,47,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Health Maintenance Organization,336,358,310,295,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Medicaid (Medi-Cal),5240,5557,5724,4735,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Medicare Part B,1637,1709,1717,1420,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Point of Service (POS),107,83,91,85,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Preferred Provider Organization (PPO),340,321,355,263,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Self Pay,1067,1059,1217,1024,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Veterans Affairs Plan,11,5,16,19,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Workers' Compensation Health Claim,59,61,62,48,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Other,0,1,0,1,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Blank/Invalid,1,1,0,0,PIH HEALTH GOOD SAMARITAN HOSPITAL #190392,Emergency Department
Blue Cross/Blue Shield,0,0,205,180,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
CHAMPUS (TRICARE),24,18,28,23,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Commercial Insurance Company,71,68,100,71,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Error/Unknown,0,0,105,102,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Exclusive Provider Organization (EPO),93,100,120,98,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Health Maintenance Organization,1252,1280,1282,1190,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1349,1409,0,0,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Medicaid (Medi-Cal),7717,8031,7927,6922,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Medicare Part B,636,636,2196,1972,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Point of Service (POS),128,139,134,101,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Preferred Provider Organization (PPO),717,824,846,720,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Self Pay,618,608,593,694,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Title V,1,0,1,1,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Veterans Affairs Plan,0,0,8,2,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Workers' Compensation Health Claim,70,73,81,73,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Other federal program,9,5,0,0,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Other Non-federal programs,40,47,0,0,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Blank/Invalid,0,0,1,19,PIH HEALTH HOSPITAL - DOWNEY #190243,Emergency Department
Blue Cross/Blue Shield,0,0,313,249,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
CHAMPUS (TRICARE),46,59,45,55,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Commercial Insurance Company,261,263,341,310,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Error/Unknown,0,0,189,155,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Exclusive Provider Organization (EPO),185,186,202,171,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Health Maintenance Organization,1990,2147,1960,1688,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,2190,2233,0,0,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Medicaid (Medi-Cal),6991,6996,6760,5915,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Medicare Part B,882,966,3503,2853,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Point of Service (POS),231,222,250,202,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Preferred Provider Organization (PPO),1526,1473,1562,1404,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Self Pay,801,898,715,826,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Veterans Affairs Plan,0,0,15,22,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Workers' Compensation Health Claim,183,160,212,141,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Other,0,2,0,0,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Other federal program,22,16,0,0,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Other Non-federal programs,55,45,0,0,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Blank/Invalid,0,0,7,18,PIH HEALTH WHITTIER HOSPITAL #190631,Emergency Department
Automobile Medical,2,2,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Blue Cross/Blue Shield,0,1212,1292,1489,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
CHAMPUS (TRICARE),92,19,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Commercial Insurance Company,174,816,925,1006,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Health Maintenance Organization,6933,1080,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Medicaid (Medi-Cal),328,4711,5437,6313,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Medicare Part A,0,8,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Medicare Part B,1177,1770,2023,2031,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Point of Service (POS),2,0,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Preferred Provider Organization (PPO),1626,225,0,0,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Self Pay,433,610,379,436,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Workers' Compensation Health Claim,108,114,141,127,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Other,0,0,16,36,PIONEERS MEMORIAL HEALTHCARE DISTRICT #130760,Emergency Department
Automobile Medical,0,0,2,2,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
CHAMPUS (TRICARE),17,21,18,18,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
Commercial Insurance Company,90,96,110,87,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
Medicaid (Medi-Cal),407,409,401,359,PLUMAS DISTRICT HOSPITAL #320986,Emergency Department
