AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
80 Years +,499,568,579,524,MERCY GENERAL HOSPITAL #340947,Emergency Department
Under 1 Year,286,244,224,240,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
-,0,0,0,3,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
1--9,1323,1472,1169,1379,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
10--19,1707,1848,1719,1920,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
20 - 29,3178,3424,3526,3342,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
30 - 39,3325,3616,3799,3563,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
40 - 49,2394,2561,2673,2578,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
50 - 59,1714,1870,2058,1890,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
60 - 69,1525,1686,1784,1765,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
70 - 79,1021,1077,1061,1082,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
80 Years +,661,660,713,760,MERCY HOSPITAL - BAKERSFIELD #150761,Emergency Department
Under 1 Year,167,155,142,140,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
-,1,1,0,0,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
1--9,999,1009,824,931,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
10--19,1109,1219,1158,1078,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
20 - 29,1382,1564,1486,1458,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
30 - 39,1649,1863,1709,1610,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
40 - 49,1409,1452,1457,1388,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
50 - 59,1299,1271,1306,1244,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
60 - 69,1211,1252,1322,1268,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
70 - 79,866,942,942,989,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
80 Years +,831,823,910,859,MERCY HOSPITAL OF FOLSOM #344029,Emergency Department
Under 1 Year,336,335,309,298,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
-,2,2,2,1,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
1--9,1626,1890,1425,1521,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
10--19,1694,1819,1573,1725,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
20 - 29,2407,2568,2599,2460,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
30 - 39,2809,2844,2759,2625,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
40 - 49,1831,2081,2058,1916,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
50 - 59,1611,1619,1599,1460,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
60 - 69,1541,1552,1504,1424,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
70 - 79,951,1007,1084,905,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
80 Years +,685,693,750,685,MERCY MEDICAL CENTER - MERCED #240942,Emergency Department
Under 1 Year,323,312,253,342,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
-,0,0,0,1,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
1--9,1298,1251,999,1176,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
10--19,1102,1118,1112,1006,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
20 - 29,1351,1379,1564,1461,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
30 - 39,1755,1602,1801,1510,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
40 - 49,1335,1284,1452,1295,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
50 - 59,1134,1042,1078,1016,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
60 - 69,1379,1363,1448,1289,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
70 - 79,1032,1215,1121,1106,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
80 Years +,841,915,930,928,MERCY MEDICAL CENTER - REDDING #450949,Emergency Department
Under 1 Year,25,25,24,23,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
-,0,0,1,0,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
1--9,227,197,188,181,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
10--19,246,217,245,194,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
20 - 29,287,281,332,266,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
30 - 39,273,309,307,313,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
40 - 49,313,295,321,282,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
50 - 59,244,251,250,243,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
60 - 69,350,350,364,279,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
70 - 79,299,398,394,329,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
80 Years +,171,222,225,188,MERCY MEDICAL CENTER MT. SHASTA #470871,Emergency Department
Under 1 Year,312,294,278,306,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
1--9,1538,1649,1322,1484,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
10--19,1229,1318,1336,1302,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
20 - 29,1996,2117,2117,2087,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
30 - 39,2475,2702,2756,2575,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
40 - 49,1799,1983,2103,2034,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
50 - 59,1732,1785,1914,1750,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
60 - 69,1625,1874,1935,1804,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
70 - 79,1035,1184,1167,1175,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
80 Years +,941,919,911,950,MERCY SAN JUAN MEDICAL CENTER #340950,Emergency Department
Under 1 Year,219,249,219,264,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
-,2,2,1,0,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
1--9,1237,1348,962,1147,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
10--19,1339,1434,1217,1252,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
20 - 29,1928,2125,2146,2035,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
30 - 39,2219,2264,2379,2203,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
40 - 49,1711,1802,1875,1757,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
50 - 59,1560,1622,1652,1512,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
60 - 69,1481,1668,1704,1519,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
70 - 79,811,964,975,920,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
80 Years +,549,616,605,601,METHODIST HOSPITAL OF SACRAMENTO #340951,Emergency Department
Under 1 Year,111,106,83,114,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
-,1,1,0,1,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
1--9,748,645,549,684,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
10--19,862,811,694,800,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
20 - 29,1102,1068,1156,1178,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
30 - 39,1455,1413,1364,1483,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
40 - 49,1372,1238,1278,1227,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
50 - 59,1340,1332,1231,1284,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
60 - 69,1356,1369,1453,1336,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
70 - 79,1240,1299,1292,1345,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
80 Years +,1476,1414,1510,1475,MILLS-PENINSULA MEDICAL CENTER #410852,Emergency Department
Under 1 Year,2,9,7,7,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
1--9,46,67,64,87,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
10--19,190,200,183,224,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
20 - 29,423,451,466,410,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
30 - 39,439,479,498,477,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
40 - 49,390,409,374,377,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
50 - 59,390,363,488,402,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
60 - 69,347,380,350,362,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
70 - 79,146,166,172,215,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
80 Years +,123,133,109,86,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS #190524,Emergency Department
Under 1 Year,21,17,25,16,MODOC MEDICAL CENTER #254005,Emergency Department
1--9,174,178,96,120,MODOC MEDICAL CENTER #254005,Emergency Department
10--19,184,159,133,135,MODOC MEDICAL CENTER #254005,Emergency Department
20 - 29,119,136,135,146,MODOC MEDICAL CENTER #254005,Emergency Department
30 - 39,166,193,179,183,MODOC MEDICAL CENTER #254005,Emergency Department
40 - 49,113,140,153,137,MODOC MEDICAL CENTER #254005,Emergency Department
50 - 59,160,185,218,170,MODOC MEDICAL CENTER #254005,Emergency Department
60 - 69,178,228,220,191,MODOC MEDICAL CENTER #254005,Emergency Department
70 - 79,155,191,195,129,MODOC MEDICAL CENTER #254005,Emergency Department
80 Years +,72,118,117,96,MODOC MEDICAL CENTER #254005,Emergency Department
Under 1 Year,80,84,73,85,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
1--9,712,677,552,798,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
10--19,708,766,712,809,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
20 - 29,990,1063,1044,1111,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
30 - 39,1020,1161,1104,1059,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
40 - 49,837,902,978,931,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
50 - 59,611,667,659,673,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
60 - 69,453,447,439,506,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
70 - 79,177,243,188,186,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
80 Years +,103,102,140,137,MONTCLAIR HOSPITAL MEDICAL CENTER #361166,Emergency Department
Under 1 Year,23,57,45,50,MONTEREY PARK HOSPITAL #190547,Emergency Department
1--9,510,539,363,585,MONTEREY PARK HOSPITAL #190547,Emergency Department
10--19,585,655,590,786,MONTEREY PARK HOSPITAL #190547,Emergency Department
20 - 29,822,901,916,963,MONTEREY PARK HOSPITAL #190547,Emergency Department
30 - 39,719,844,866,824,MONTEREY PARK HOSPITAL #190547,Emergency Department
40 - 49,630,707,731,684,MONTEREY PARK HOSPITAL #190547,Emergency Department
50 - 59,553,585,617,623,MONTEREY PARK HOSPITAL #190547,Emergency Department
60 - 69,444,502,494,479,MONTEREY PARK HOSPITAL #190547,Emergency Department
70 - 79,269,311,296,344,MONTEREY PARK HOSPITAL #190547,Emergency Department
80 Years +,242,231,250,224,MONTEREY PARK HOSPITAL #190547,Emergency Department
Under 1 Year,20,11,27,31,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
1--9,231,207,183,236,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
10--19,215,275,286,270,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
20 - 29,277,239,316,268,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
30 - 39,263,284,291,323,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
40 - 49,232,275,347,305,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
50 - 59,164,242,258,251,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
60 - 69,254,303,350,293,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
70 - 79,244,264,249,261,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
80 Years +,95,128,140,122,MOUNTAINS COMMUNITY HOSPITAL #361266,Emergency Department
Under 1 Year,476,579,535,523,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
1--9,1985,2330,1899,2312,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
10--19,1978,1793,1839,1955,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
20 - 29,2228,2491,2601,2477,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
30 - 39,2162,2336,2441,2365,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
40 - 49,1692,1693,1664,1682,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
50 - 59,1197,1296,1193,1203,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
60 - 69,857,902,841,782,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
70 - 79,399,391,411,468,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
80 Years +,209,233,238,257,NATIVIDAD MEDICAL CENTER #274043,Emergency Department
Under 1 Year,350,330,283,320,NORTHBAY MEDICAL CENTER #481357,Emergency Department
1--9,1585,1824,1244,1491,NORTHBAY MEDICAL CENTER #481357,Emergency Department
10--19,1341,1500,1336,1306,NORTHBAY MEDICAL CENTER #481357,Emergency Department
20 - 29,2287,2367,2376,2233,NORTHBAY MEDICAL CENTER #481357,Emergency Department
30 - 39,2583,2704,2572,2505,NORTHBAY MEDICAL CENTER #481357,Emergency Department
40 - 49,2057,2088,2055,2155,NORTHBAY MEDICAL CENTER #481357,Emergency Department
50 - 59,1800,1810,1671,1708,NORTHBAY MEDICAL CENTER #481357,Emergency Department
60 - 69,1648,1650,1630,1576,NORTHBAY MEDICAL CENTER #481357,Emergency Department
70 - 79,1106,1055,1127,1080,NORTHBAY MEDICAL CENTER #481357,Emergency Department
80 Years +,828,819,836,839,NORTHBAY MEDICAL CENTER #481357,Emergency Department
Under 1 Year,25,19,24,23,NORTHERN INYO HOSPITAL #141273,Emergency Department
1--9,164,190,189,170,NORTHERN INYO HOSPITAL #141273,Emergency Department
10--19,224,246,241,227,NORTHERN INYO HOSPITAL #141273,Emergency Department
20 - 29,241,248,281,289,NORTHERN INYO HOSPITAL #141273,Emergency Department
30 - 39,248,341,341,320,NORTHERN INYO HOSPITAL #141273,Emergency Department
40 - 49,235,304,261,254,NORTHERN INYO HOSPITAL #141273,Emergency Department
50 - 59,226,237,261,207,NORTHERN INYO HOSPITAL #141273,Emergency Department
60 - 69,289,316,354,267,NORTHERN INYO HOSPITAL #141273,Emergency Department
70 - 79,259,275,320,278,NORTHERN INYO HOSPITAL #141273,Emergency Department
80 Years +,183,194,198,162,NORTHERN INYO HOSPITAL #141273,Emergency Department
Under 1 Year,221,244,243,220,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
-,4,8,3,5,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
1--9,1294,1409,1007,1335,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
10--19,1196,1346,1224,1216,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
20 - 29,1698,1942,2137,1883,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
30 - 39,1745,1934,2036,1791,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
40 - 49,1449,1612,1734,1418,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
50 - 59,1286,1431,1577,1294,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
60 - 69,1211,1421,1491,1238,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
70 - 79,855,985,1094,894,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
80 Years +,734,835,846,711,NORTHRIDGE HOSPITAL MEDICAL CENTER #190568,Emergency Department
Under 1 Year,5,1,4,3,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
1--9,50,66,44,79,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
10--19,100,116,104,139,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
20 - 29,199,214,214,236,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
30 - 39,212,244,255,243,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
40 - 49,158,209,168,180,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
50 - 59,199,198,168,172,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
60 - 69,173,154,160,138,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
70 - 79,79,72,75,81,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
80 Years +,38,59,65,38,NORWALK COMMUNITY HOSPITAL #190570,Emergency Department
Under 1 Year,40,43,33,39,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
1--9,374,403,297,321,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
10--19,423,433,366,385,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
20 - 29,434,457,470,470,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
30 - 39,512,538,520,529,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
40 - 49,505,546,502,489,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
50 - 59,488,493,491,438,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
60 - 69,492,476,456,442,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
70 - 79,474,495,502,498,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
80 Years +,381,411,406,382,NOVATO COMMUNITY HOSPITAL #214034,Emergency Department
Under 1 Year,286,333,277,322,O'CONNOR HOSPITAL #430837,Emergency Department
-,6,1,1,10,O'CONNOR HOSPITAL #430837,Emergency Department
1--9,1711,1878,1205,1639,O'CONNOR HOSPITAL #430837,Emergency Department
10--19,1629,1675,1473,1542,O'CONNOR HOSPITAL #430837,Emergency Department
20 - 29,2493,2635,2662,2548,O'CONNOR HOSPITAL #430837,Emergency Department
30 - 39,2459,2578,2564,2590,O'CONNOR HOSPITAL #430837,Emergency Department
40 - 49,2162,2169,2312,2205,O'CONNOR HOSPITAL #430837,Emergency Department
50 - 59,1883,1905,1896,1810,O'CONNOR HOSPITAL #430837,Emergency Department
60 - 69,1387,1534,1556,1533,O'CONNOR HOSPITAL #430837,Emergency Department
70 - 79,695,792,783,774,O'CONNOR HOSPITAL #430837,Emergency Department
80 Years +,531,554,516,468,O'CONNOR HOSPITAL #430837,Emergency Department
Under 1 Year,93,77,62,84,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
1--9,780,760,658,767,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
10--19,768,683,713,700,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
20 - 29,738,800,748,744,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
30 - 39,681,697,692,713,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
40 - 49,675,587,631,581,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
50 - 59,503,473,531,487,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
60 - 69,396,392,378,412,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
70 - 79,231,276,250,240,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
80 Years +,162,176,180,167,OAK VALLEY HOSPITAL DISTRICT #500967,Emergency Department
Under 1 Year,49,33,45,33,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
-,7,5,3,8,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
1--9,146,136,143,147,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
10--19,371,366,400,361,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
20 - 29,956,1049,1080,945,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
30 - 39,1009,1074,1066,1016,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
40 - 49,810,819,826,773,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
50 - 59,635,646,635,612,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
60 - 69,474,495,475,490,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
70 - 79,241,250,248,271,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
80 Years +,171,153,196,187,ORANGE COUNTY GLOBAL MEDICAL CENTER #301566,Emergency Department
Under 1 Year,30,32,40,20,ORCHARD HOSPITAL #040802,Emergency Department
1--9,246,369,225,277,ORCHARD HOSPITAL #040802,Emergency Department
10--19,297,313,346,313,ORCHARD HOSPITAL #040802,Emergency Department
20 - 29,303,371,365,330,ORCHARD HOSPITAL #040802,Emergency Department
30 - 39,389,381,386,366,ORCHARD HOSPITAL #040802,Emergency Department
40 - 49,338,409,366,393,ORCHARD HOSPITAL #040802,Emergency Department
50 - 59,333,321,333,291,ORCHARD HOSPITAL #040802,Emergency Department
60 - 69,291,290,345,335,ORCHARD HOSPITAL #040802,Emergency Department
70 - 79,139,174,197,157,ORCHARD HOSPITAL #040802,Emergency Department
80 Years +,137,145,130,120,ORCHARD HOSPITAL #040802,Emergency Department
Under 1 Year,62,67,64,59,OROVILLE HOSPITAL #040937,Emergency Department
1--9,257,303,212,266,OROVILLE HOSPITAL #040937,Emergency Department
10--19,248,272,259,271,OROVILLE HOSPITAL #040937,Emergency Department
20 - 29,350,430,362,368,OROVILLE HOSPITAL #040937,Emergency Department
30 - 39,434,574,472,446,OROVILLE HOSPITAL #040937,Emergency Department
40 - 49,353,407,409,408,OROVILLE HOSPITAL #040937,Emergency Department
50 - 59,315,363,350,315,OROVILLE HOSPITAL #040937,Emergency Department
60 - 69,350,385,383,423,OROVILLE HOSPITAL #040937,Emergency Department
70 - 79,205,238,207,243,OROVILLE HOSPITAL #040937,Emergency Department
80 Years +,134,146,155,140,OROVILLE HOSPITAL #040937,Emergency Department
Under 1 Year,1,4,1,3,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
1--9,77,62,29,32,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
10--19,145,159,116,120,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
20 - 29,311,347,298,227,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
30 - 39,338,377,359,325,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
40 - 49,295,353,310,300,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
50 - 59,268,286,259,243,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
60 - 69,205,232,215,200,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
70 - 79,70,78,73,74,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
80 Years +,27,35,37,24,PACIFICA HOSPITAL OF THE VALLEY #190696,Emergency Department
Under 1 Year,332,394,327,473,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
-,4,2,4,3,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
1--9,2816,2950,2373,3596,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
10--19,2332,2555,2578,2889,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
20 - 29,3352,3516,3816,4010,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
30 - 39,3370,3618,3913,4093,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
40 - 49,2609,2760,3011,2984,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
50 - 59,2337,2411,2575,2586,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
60 - 69,1922,1988,2230,2062,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
70 - 79,941,1046,1143,1125,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
80 Years +,593,593,648,637,PALMDALE REGIONAL MEDICAL CENTER #196405,Emergency Department
Under 1 Year,37,48,40,125,PALO VERDE HOSPITAL #331288,Emergency Department
1--9,209,200,200,609,PALO VERDE HOSPITAL #331288,Emergency Department
10--19,184,208,200,592,PALO VERDE HOSPITAL #331288,Emergency Department
20 - 29,334,260,381,975,PALO VERDE HOSPITAL #331288,Emergency Department
30 - 39,370,355,303,1028,PALO VERDE HOSPITAL #331288,Emergency Department
40 - 49,295,270,289,854,PALO VERDE HOSPITAL #331288,Emergency Department
50 - 59,295,304,275,874,PALO VERDE HOSPITAL #331288,Emergency Department
60 - 69,352,329,310,991,PALO VERDE HOSPITAL #331288,Emergency Department
70 - 79,234,139,180,553,PALO VERDE HOSPITAL #331288,Emergency Department
80 Years +,101,66,95,262,PALO VERDE HOSPITAL #331288,Emergency Department
Under 1 Year,214,207,241,241,PALOMAR MEDICAL CENTER  #374382,Emergency Department
-,2,0,0,0,PALOMAR MEDICAL CENTER  #374382,Emergency Department
1--9,982,934,819,1129,PALOMAR MEDICAL CENTER  #374382,Emergency Department
10--19,1537,1654,1540,1668,PALOMAR MEDICAL CENTER  #374382,Emergency Department
20 - 29,2639,2739,2790,2764,PALOMAR MEDICAL CENTER  #374382,Emergency Department
30 - 39,2548,2588,2656,2606,PALOMAR MEDICAL CENTER  #374382,Emergency Department
40 - 49,2041,2047,2128,2022,PALOMAR MEDICAL CENTER  #374382,Emergency Department
50 - 59,2010,2162,2150,1904,PALOMAR MEDICAL CENTER  #374382,Emergency Department
60 - 69,1961,2062,2116,1919,PALOMAR MEDICAL CENTER  #374382,Emergency Department
70 - 79,1480,1748,1618,1649,PALOMAR MEDICAL CENTER  #374382,Emergency Department
80 Years +,1546,1621,1606,1536,PALOMAR MEDICAL CENTER  #374382,Emergency Department
Under 1 Year,35,33,34,34,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
-,0,0,0,1,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
1--9,298,292,273,347,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
10--19,576,621,629,641,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
20 - 29,977,998,1054,967,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
30 - 39,936,978,985,992,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
40 - 49,822,948,879,853,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
50 - 59,797,798,813,797,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
60 - 69,856,909,918,831,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
70 - 79,728,817,762,731,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
80 Years +,804,734,728,753,PALOMAR MEDICAL CENTER POWAY #370977,Emergency Department
Under 1 Year,24,15,14,19,PARADISE VALLEY HOSPITAL #370759,Emergency Department
-,1,0,0,0,PARADISE VALLEY HOSPITAL #370759,Emergency Department
